ACTIVIDAD;MUNICIPIO DE SEVILLA;RESTO PROVINCIA;TOTAL PROVINCIA
AIAT. Actividades de intermediación de servicios turísticos no incluidas en la letra b) ap 1 art 28;2;0;2
AIAT. Actividades deportivas;3;1;4
AIAT. Actividades dirigidas a prestar servicios de recepción a las personas usuarias turísticas;1;4;5
AIAT. Actividades relacionadas con el bienestar personal;1;0;1
AIAT. Actividades relacionadas con el conocimiento de la lengua castellana por personas extranjeras;2;0;2
AIAT. Ocio, entretenimiento y esparcimiento;3;4;7
AIAT. Transporte turístico, autobuses, coches de caballo, alquiler de bicicletas u otros;2;2;4
Empresa de turismo activo;31;61;92
Oficina de turismo;7;32;39
Punto de información turística;5;2;7
Vivienda con fines turísticos;1387;36;1423
Vivienda con fines turísticos con alojamiento rural;2;147;149
