ACTIVIDAD;MUNICIPIO DE SEVILLA;RESTO PROVINCIA;TOTAL PROVINCIA
AIAT. Actividades de intermediación de servicios turísticos no incluidas en la letra b) ap 1 art 28;2;0;2
AIAT. Actividades deportivas;3;1;4
AIAT. Actividades dirigidas a prestar servicios de recepción a las personas usuarias turísticas;1;4;5
AIAT. Actividades relacionadas con el bienestar personal;1;0;1
AIAT. Actividades relacionadas con el conocimiento de la lengua castellana por personas extranjeras;2;0;2
AIAT. Ocio, entretenimiento y esparcimiento;3;4;7
AIAT. Transporte turístico, autobuses, coches de caballo, alquiler de bicicletas u otros;3;2;5
Empresa de turismo activo;29;59;88
EC. Turismo ecológico;1;1;2
Organización de Congresos;5;6;11
Oficina de turismo;7;36;43
Punto de información turística;5;3;8
Vivienda con fines turísticos;2 432;73;2 505
Vivienda con fines turísticos con alojamiento rural;2;182;184
