ACTIVIDAD;MUNICIPIO DE SEVILLA;RESTO PROVINCIA;TOTAL PROVINCIA
AIAT. Actividades de intermediación de servicios turísticos no incluidas en la letra b) ap 1 art 28;2;1;3
AIAT. Actividades deportivas;3;;3
AIAT. Actividades dirigidas a prestar servicios de recepción a las personas usuarias turísticas;1;5;6
AIAT. Actividades relacionadas con el bienestar personal;1;;1
AIAT. Actividades relacionadas con el conocimiento de la lengua castellana por personas extranjeras;2;1;3
AIAT. Ocio, entretenimiento y esparcimiento;3;3;6
AIAT. Transporte turístico, autobuses, coches de caballo, alquiler de bicicletas u otros;3;2;5
Empresa de turismo activo;36;73;109
EC. Turismo ecológico;1;5;6
Organización de Congresos;6;6;12
Oficina de turismo;8;45;53
Punto de información turística;6;3;9
Vivienda con fines turísticos;5390;408;5798
Vivienda con fines turísticos con alojamiento rural;3;306;309
