"CD","ND","DESTINO","NACION","HOMBRES","MUJERES","TOTAL"
" 01","CASCO ANTIGUO","- FUERA DE LA PROVINCIA DE SEVILLA","ESPAÑOLES",419,430,849
" 01","CASCO ANTIGUO","- FUERA DE LA PROVINCIA DE SEVILLA","EXTRANJEROS",79,88,167
" 01","CASCO ANTIGUO","- FUERA DE LA PROVINCIA DE SEVILLA","TOTAL POBLACION",498,518,1016
" 01","CASCO ANTIGUO","- PROVINCIA DE SEVILLA","ESPAÑOLES",288,308,596
" 01","CASCO ANTIGUO","- PROVINCIA DE SEVILLA","EXTRANJEROS",28,29,57
" 01","CASCO ANTIGUO","- PROVINCIA DE SEVILLA","TOTAL POBLACION",316,337,653
" 01","CASCO ANTIGUO","ALCALA DE GUADAIRA","ESPAÑOLES",8,9,17
" 01","CASCO ANTIGUO","ALCALA DE GUADAIRA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","ALCALA DE GUADAIRA","TOTAL POBLACION",9,9,18
" 01","CASCO ANTIGUO","ALCALA DEL RIO","ESPAÑOLES",3,0,3
" 01","CASCO ANTIGUO","ALCALA DEL RIO","TOTAL POBLACION",3,0,3
" 01","CASCO ANTIGUO","ALCOLEA DEL RIO","ESPAÑOLES",1,0,1
" 01","CASCO ANTIGUO","ALCOLEA DEL RIO","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","ALGABA (LA)","ESPAÑOLES",4,4,8
" 01","CASCO ANTIGUO","ALGABA (LA)","TOTAL POBLACION",4,4,8
" 01","CASCO ANTIGUO","ALMADEN DE LA PLATA","ESPAÑOLES",1,0,1
" 01","CASCO ANTIGUO","ALMADEN DE LA PLATA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","ALMENSILLA","ESPAÑOLES",1,3,4
" 01","CASCO ANTIGUO","ALMENSILLA","TOTAL POBLACION",1,3,4
" 01","CASCO ANTIGUO","ARAHAL (EL)","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","ARAHAL (EL)","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","AZNALCAZAR","ESPAÑOLES",0,1,1
" 01","CASCO ANTIGUO","AZNALCAZAR","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","AZNALCOLLAR","ESPAÑOLES",2,1,3
" 01","CASCO ANTIGUO","AZNALCOLLAR","TOTAL POBLACION",2,1,3
" 01","CASCO ANTIGUO","BENACAZON","ESPAÑOLES",1,2,3
" 01","CASCO ANTIGUO","BENACAZON","TOTAL POBLACION",1,2,3
" 01","CASCO ANTIGUO","BOLLULLOS DE LA MITACION","ESPAÑOLES",3,2,5
