"CD","ND","DESTINO","NACION","HOMBRES","MUJERES","TOTAL"
" 01","CASCO ANTIGUO","1 - AREA METROPOLITANA","ESPAÑOLES",244,235,479
" 01","CASCO ANTIGUO","1 - AREA METROPOLITANA","EXTRANJEROS",35,37,72
" 01","CASCO ANTIGUO","1 - AREA METROPOLITANA","TOTAL POBLACION",279,272,551
" 01","CASCO ANTIGUO","2 - RESTO DE LA PROVINCIA","ESPAÑOLES",86,96,182
" 01","CASCO ANTIGUO","2 - RESTO DE LA PROVINCIA","EXTRANJEROS",4,7,11
" 01","CASCO ANTIGUO","2 - RESTO DE LA PROVINCIA","TOTAL POBLACION",90,103,193
" 01","CASCO ANTIGUO","3 - RESTO DE ANDALUCIA","ESPAÑOLES",150,156,306
" 01","CASCO ANTIGUO","3 - RESTO DE ANDALUCIA","EXTRANJEROS",26,38,64
" 01","CASCO ANTIGUO","3 - RESTO DE ANDALUCIA","TOTAL POBLACION",176,194,370
" 01","CASCO ANTIGUO","4 - RESTO DE ESPAÑA","ESPAÑOLES",204,196,400
" 01","CASCO ANTIGUO","4 - RESTO DE ESPAÑA","EXTRANJEROS",45,47,92
" 01","CASCO ANTIGUO","4 - RESTO DE ESPAÑA","NO CONSTA",1,0,1
" 01","CASCO ANTIGUO","4 - RESTO DE ESPAÑA","TOTAL POBLACION",250,243,493
" 01","CASCO ANTIGUO","5 - EXTRANJERO","ESPAÑOLES",621,621,1242
" 01","CASCO ANTIGUO","5 - EXTRANJERO","EXTRANJEROS",126,117,243
" 01","CASCO ANTIGUO","5 - EXTRANJERO","TOTAL POBLACION",747,738,1485
" 01","CASCO ANTIGUO","6 - TODOS","ESPAÑOLES",753,752,1505
" 01","CASCO ANTIGUO","6 - TODOS","EXTRANJEROS",124,142,266
" 01","CASCO ANTIGUO","6 - TODOS","NO CONSTA",1,0,1
" 01","CASCO ANTIGUO","6 - TODOS","TOTAL POBLACION",878,894,1772
" 02","MACARENA","1 - AREA METROPOLITANA","ESPAÑOLES",258,280,538
" 02","MACARENA","1 - AREA METROPOLITANA","EXTRANJEROS",51,68,119
" 02","MACARENA","1 - AREA METROPOLITANA","NO CONSTA",0,1,1
" 02","MACARENA","1 - AREA METROPOLITANA","TOTAL POBLACION",309,349,658
" 02","MACARENA","2 - RESTO DE LA PROVINCIA","ESPAÑOLES",162,164,326
" 02","MACARENA","2 - RESTO DE LA PROVINCIA","EXTRANJEROS",24,32,56
