"BARRIO","DISTRITO","NACION","HOMBRES","MUJERES","TOTAL"
"- TOTAL MUNICIPIO -","- TOTAL MUNICIPIO -","ESPAÑOLES",7060,7317,14377
"- TOTAL MUNICIPIO -","- TOTAL MUNICIPIO -","EXTRANJEROS",1027,1221,2248
"- TOTAL MUNICIPIO -","- TOTAL MUNICIPIO -","NO CONSTA",5,3,8
"- TOTAL MUNICIPIO -","- TOTAL MUNICIPIO -","TOTAL POBLACION",8092,8541,16633
"AEROPUERTO VIEJO","NORTE","ESPAÑOLES",16,13,29
"AEROPUERTO VIEJO","NORTE","EXTRANJEROS",0,5,5
"AEROPUERTO VIEJO","NORTE","TOTAL POBLACION",16,18,34
"ALFALFA","CASCO ANTIGUO","ESPAÑOLES",49,54,103
"ALFALFA","CASCO ANTIGUO","EXTRANJEROS",17,13,30
"ALFALFA","CASCO ANTIGUO","TOTAL POBLACION",66,67,133
"AMATE","CERRO-AMATE","ESPAÑOLES",48,49,97
"AMATE","CERRO-AMATE","EXTRANJEROS",3,6,9
"AMATE","CERRO-AMATE","TOTAL POBLACION",51,55,106
"ARBOL GORDO","S. PABLO-STA. JUSTA","ESPAÑOLES",10,17,27
"ARBOL GORDO","S. PABLO-STA. JUSTA","EXTRANJEROS",0,2,2
"ARBOL GORDO","S. PABLO-STA. JUSTA","TOTAL POBLACION",10,19,29
"ARENAL","CASCO ANTIGUO","ESPAÑOLES",44,38,82
"ARENAL","CASCO ANTIGUO","EXTRANJEROS",13,5,18
"ARENAL","CASCO ANTIGUO","TOTAL POBLACION",57,43,100
"AVENIDA DE LA PAZ","SUR","ESPAÑOLES",26,29,55
"AVENIDA DE LA PAZ","SUR","EXTRANJEROS",4,4,8
"AVENIDA DE LA PAZ","SUR","TOTAL POBLACION",30,33,63
"BAMI","SUR","ESPAÑOLES",41,40,81
"BAMI","SUR","EXTRANJEROS",13,10,23
"BAMI","SUR","NO CONSTA",1,0,1
"BAMI","SUR","TOTAL POBLACION",55,50,105
"BARRIADA DE PINEDA","BELLAVISTA-LA PALMERA","ESPAÑOLES",14,18,32
"BARRIADA DE PINEDA","BELLAVISTA-LA PALMERA","TOTAL POBLACION",14,18,32
"BARRIADA PINO MONTANO","NORTE","ESPAÑOLES",247,287,534
"BARRIADA PINO MONTANO","NORTE","EXTRANJEROS",28,23,51
"BARRIADA PINO MONTANO","NORTE","TOTAL POBLACION",275,310,585
"BARRIO LEON","TRIANA","ESPAÑOLES",18,29,47
"BARRIO LEON","TRIANA","EXTRANJEROS",4,4,8
"BARRIO LEON","TRIANA","TOTAL POBLACION",22,33,55
"BEGO¿A-SANTA CATALINA","MACARENA","ESPAÑOLES",44,40,84
"BEGO¿A-SANTA CATALINA","MACARENA","EXTRANJEROS",17,14,31
"BEGO¿A-SANTA CATALINA","MACARENA","TOTAL POBLACION",61,54,115
"BELLAVISTA","BELLAVISTA-LA PALMERA","ESPAÑOLES",249,198,447
"BELLAVISTA","BELLAVISTA-LA PALMERA","EXTRANJEROS",32,36,68
"BELLAVISTA","BELLAVISTA-LA PALMERA","TOTAL POBLACION",281,234,515
"CAMPOS DE SORIA","MACARENA","ESPAÑOLES",26,29,55
"CAMPOS DE SORIA","MACARENA","EXTRANJEROS",3,8,11
"CAMPOS DE SORIA","MACARENA","TOTAL POBLACION",29,37,66
"CISNEO ALTO-SANTA MARIA DE GRACIA","MACARENA","ESPAÑOLES",11,19,30
"CISNEO ALTO-SANTA MARIA DE GRACIA","MACARENA","EXTRANJEROS",3,1,4
"CISNEO ALTO-SANTA MARIA DE GRACIA","MACARENA","TOTAL POBLACION",14,20,34
"CIUDAD JARDIN","NERVION","ESPAÑOLES",39,43,82
"CIUDAD JARDIN","NERVION","EXTRANJEROS",7,6,13
"CIUDAD JARDIN","NERVION","TOTAL POBLACION",46,49,95
"COLORES, ENTREPARQUES","ESTE","ESPAÑOLES",359,347,706
"COLORES, ENTREPARQUES","ESTE","EXTRANJEROS",31,36,67
"COLORES, ENTREPARQUES","ESTE","TOTAL POBLACION",390,383,773
"CONSOLACION","NORTE","ESPAÑOLES",39,54,93
"CONSOLACION","NORTE","EXTRANJEROS",1,3,4
"CONSOLACION","NORTE","TOTAL POBLACION",40,57,97
"CRUZ ROJA-CAPUCHINOS","MACARENA","ESPAÑOLES",70,52,122
"CRUZ ROJA-CAPUCHINOS","MACARENA","EXTRANJEROS",8,9,17
"CRUZ ROJA-CAPUCHINOS","MACARENA","TOTAL POBLACION",78,61,139
"DOCTOR BARRAQUER-GRUPO RENFE-POLICLINICO","MACARENA","ESPAÑOLES",67,42,109
"DOCTOR BARRAQUER-GRUPO RENFE-POLICLINICO","MACARENA","EXTRANJEROS",13,8,21
"DOCTOR BARRAQUER-GRUPO RENFE-POLICLINICO","MACARENA","TOTAL POBLACION",80,50,130
"EL CARMEN","MACARENA","ESPAÑOLES",9,12,21
"EL CARMEN","MACARENA","EXTRANJEROS",3,1,4
"EL CARMEN","MACARENA","TOTAL POBLACION",12,13,25
"EL CEREZO","MACARENA","ESPAÑOLES",31,38,69
"EL CEREZO","MACARENA","EXTRANJEROS",18,23,41
"EL CEREZO","MACARENA","TOTAL POBLACION",49,61,110
"EL CERRO","CERRO-AMATE","ESPAÑOLES",137,118,255
"EL CERRO","CERRO-AMATE","EXTRANJEROS",20,29,49
"EL CERRO","CERRO-AMATE","TOTAL POBLACION",157,147,304
"EL FONTANAL-MARIA AUXILIADORA-CARRETERA DE CARMONA","S. PABLO-STA. JUSTA","ESPAÑOLES",54,61,115
"EL FONTANAL-MARIA AUXILIADORA-CARRETERA DE CARMONA","S. PABLO-STA. JUSTA","EXTRANJEROS",4,6,10
"EL FONTANAL-MARIA AUXILIADORA-CARRETERA DE CARMONA","S. PABLO-STA. JUSTA","TOTAL POBLACION",58,67,125
"EL GORDILLO","NORTE","ESPAÑOLES",11,13,24
"EL GORDILLO","NORTE","TOTAL POBLACION",11,13,24
"EL JUNCAL-HISPALIS","SUR","ESPAÑOLES",53,56,109
"EL JUNCAL-HISPALIS","SUR","EXTRANJEROS",13,24,37
"EL JUNCAL-HISPALIS","SUR","TOTAL POBLACION",66,80,146
"EL PLANTINAR","SUR","ESPAÑOLES",62,66,128
"EL PLANTINAR","SUR","EXTRANJEROS",3,4,7
"EL PLANTINAR","SUR","TOTAL POBLACION",65,70,135
"EL PORVENIR","SUR","ESPAÑOLES",67,75,142
"EL PORVENIR","SUR","EXTRANJEROS",4,12,16
"EL PORVENIR","SUR","TOTAL POBLACION",71,87,158
"EL PRADO-PARQUE MARIA LUISA","SUR","ESPAÑOLES",7,11,18
"EL PRADO-PARQUE MARIA LUISA","SUR","EXTRANJEROS",0,1,1
"EL PRADO-PARQUE MARIA LUISA","SUR","TOTAL POBLACION",7,12,19
"EL ROCIO","MACARENA","ESPAÑOLES",23,24,47
"EL ROCIO","MACARENA","EXTRANJEROS",10,9,19
"EL ROCIO","MACARENA","TOTAL POBLACION",33,33,66
"EL TARDON-EL CARMEN","TRIANA","ESPAÑOLES",99,89,188
"EL TARDON-EL CARMEN","TRIANA","EXTRANJEROS",4,6,10
"EL TARDON-EL CARMEN","TRIANA","TOTAL POBLACION",103,95,198
"EL TORREJON","MACARENA","ESPAÑOLES",13,18,31
"EL TORREJON","MACARENA","EXTRANJEROS",4,0,4
"EL TORREJON","MACARENA","TOTAL POBLACION",17,18,35
"ELCANO-BERMEJALES","BELLAVISTA-LA PALMERA","ESPAÑOLES",150,128,278
"ELCANO-BERMEJALES","BELLAVISTA-LA PALMERA","EXTRANJEROS",12,18,30
"ELCANO-BERMEJALES","BELLAVISTA-LA PALMERA","TOTAL POBLACION",162,146,308
"ENCARNACI¿N-REGINA","CASCO ANTIGUO","ESPAÑOLES",47,62,109
"ENCARNACI¿N-REGINA","CASCO ANTIGUO","EXTRANJEROS",2,8,10
"ENCARNACI¿N-REGINA","CASCO ANTIGUO","TOTAL POBLACION",49,70,119
"FELIPE II-LOS DIEZ MANDAMIENTOS","SUR","ESPAÑOLES",17,22,39
"FELIPE II-LOS DIEZ MANDAMIENTOS","SUR","EXTRANJEROS",6,8,14
"FELIPE II-LOS DIEZ MANDAMIENTOS","SUR","TOTAL POBLACION",23,30,53
"FERIA","CASCO ANTIGUO","ESPAÑOLES",77,72,149
"FERIA","CASCO ANTIGUO","EXTRANJEROS",19,19,38
"FERIA","CASCO ANTIGUO","TOTAL POBLACION",96,91,187
"GIRALDA SUR","SUR","ESPAÑOLES",40,53,93
"GIRALDA SUR","SUR","EXTRANJEROS",3,2,5
"GIRALDA SUR","SUR","TOTAL POBLACION",43,55,98
"HELIOPOLIS","BELLAVISTA-LA PALMERA","ESPAÑOLES",20,26,46
"HELIOPOLIS","BELLAVISTA-LA PALMERA","EXTRANJEROS",0,1,1
"HELIOPOLIS","BELLAVISTA-LA PALMERA","TOTAL POBLACION",20,27,47
"HERMANDADES-LA CARRASCA","MACARENA","ESPAÑOLES",59,63,122
"HERMANDADES-LA CARRASCA","MACARENA","EXTRANJEROS",23,16,39
"HERMANDADES-LA CARRASCA","MACARENA","TOTAL POBLACION",82,79,161
