"BARRIO","DISTRITO","NACION","HOMBRES","MUJERES","TOTAL"
"- TOTAL MUNICIPIO -","- TOTAL MUNICIPIO -","ESPAÑOLES",7154,7300,14454
"- TOTAL MUNICIPIO -","- TOTAL MUNICIPIO -","EXTRANJEROS",1302,1592,2894
"- TOTAL MUNICIPIO -","- TOTAL MUNICIPIO -","NO CONSTA",4,1,5
"- TOTAL MUNICIPIO -","- TOTAL MUNICIPIO -","TOTAL POBLACION",8460,8893,17353
"AEROPUERTO VIEJO","NORTE","ESPAÑOLES",10,11,21
"AEROPUERTO VIEJO","NORTE","EXTRANJEROS",2,1,3
"AEROPUERTO VIEJO","NORTE","TOTAL POBLACION",12,12,24
"ALFALFA","CASCO ANTIGUO","ESPAÑOLES",64,51,115
"ALFALFA","CASCO ANTIGUO","EXTRANJEROS",9,12,21
"ALFALFA","CASCO ANTIGUO","TOTAL POBLACION",73,63,136
"AMATE","CERRO-AMATE","ESPAÑOLES",38,48,86
"AMATE","CERRO-AMATE","EXTRANJEROS",13,12,25
"AMATE","CERRO-AMATE","TOTAL POBLACION",51,60,111
"ARBOL GORDO","S. PABLO-STA. JUSTA","ESPAÑOLES",10,13,23
"ARBOL GORDO","S. PABLO-STA. JUSTA","EXTRANJEROS",1,0,1
"ARBOL GORDO","S. PABLO-STA. JUSTA","TOTAL POBLACION",11,13,24
"ARENAL","CASCO ANTIGUO","ESPAÑOLES",53,37,90
"ARENAL","CASCO ANTIGUO","EXTRANJEROS",6,6,12
"ARENAL","CASCO ANTIGUO","TOTAL POBLACION",59,43,102
"AVENIDA DE LA PAZ","SUR","ESPAÑOLES",34,27,61
"AVENIDA DE LA PAZ","SUR","EXTRANJEROS",8,14,22
"AVENIDA DE LA PAZ","SUR","TOTAL POBLACION",42,41,83
"BAMI","SUR","ESPAÑOLES",42,49,91
"BAMI","SUR","EXTRANJEROS",10,14,24
"BAMI","SUR","TOTAL POBLACION",52,63,115
"BARRIADA DE PINEDA","BELLAVISTA-LA PALMERA","ESPAÑOLES",7,13,20
"BARRIADA DE PINEDA","BELLAVISTA-LA PALMERA","EXTRANJEROS",0,1,1
"BARRIADA DE PINEDA","BELLAVISTA-LA PALMERA","TOTAL POBLACION",7,14,21
"BARRIADA PINO MONTANO","NORTE","ESPAÑOLES",257,298,555
"BARRIADA PINO MONTANO","NORTE","EXTRANJEROS",23,25,48
"BARRIADA PINO MONTANO","NORTE","NO CONSTA",0,1,1
"BARRIADA PINO MONTANO","NORTE","TOTAL POBLACION",280,324,604
"BARRIO LEON","TRIANA","ESPAÑOLES",31,33,64
"BARRIO LEON","TRIANA","EXTRANJEROS",1,3,4
"BARRIO LEON","TRIANA","TOTAL POBLACION",32,36,68
"BEGO¿A-SANTA CATALINA","MACARENA","ESPAÑOLES",34,39,73
"BEGO¿A-SANTA CATALINA","MACARENA","EXTRANJEROS",20,26,46
"BEGO¿A-SANTA CATALINA","MACARENA","TOTAL POBLACION",54,65,119
"BELLAVISTA","BELLAVISTA-LA PALMERA","ESPAÑOLES",256,262,518
"BELLAVISTA","BELLAVISTA-LA PALMERA","EXTRANJEROS",40,36,76
"BELLAVISTA","BELLAVISTA-LA PALMERA","TOTAL POBLACION",296,298,594
"CAMPOS DE SORIA","MACARENA","ESPAÑOLES",31,30,61
"CAMPOS DE SORIA","MACARENA","EXTRANJEROS",4,11,15
"CAMPOS DE SORIA","MACARENA","TOTAL POBLACION",35,41,76
"CISNEO ALTO-SANTA MARIA DE GRACIA","MACARENA","ESPAÑOLES",10,14,24
"CISNEO ALTO-SANTA MARIA DE GRACIA","MACARENA","EXTRANJEROS",0,2,2
"CISNEO ALTO-SANTA MARIA DE GRACIA","MACARENA","TOTAL POBLACION",10,16,26
"CIUDAD JARDIN","NERVION","ESPAÑOLES",40,40,80
"CIUDAD JARDIN","NERVION","EXTRANJEROS",23,18,41
"CIUDAD JARDIN","NERVION","TOTAL POBLACION",63,58,121
"COLORES, ENTREPARQUES","ESTE","ESPAÑOLES",394,335,729
"COLORES, ENTREPARQUES","ESTE","EXTRANJEROS",34,43,77
"COLORES, ENTREPARQUES","ESTE","TOTAL POBLACION",428,378,806
"CONSOLACION","NORTE","ESPAÑOLES",48,52,100
"CONSOLACION","NORTE","EXTRANJEROS",4,5,9
"CONSOLACION","NORTE","TOTAL POBLACION",52,57,109
"CRUZ ROJA-CAPUCHINOS","MACARENA","ESPAÑOLES",49,44,93
"CRUZ ROJA-CAPUCHINOS","MACARENA","EXTRANJEROS",7,13,20
"CRUZ ROJA-CAPUCHINOS","MACARENA","TOTAL POBLACION",56,57,113
"DOCTOR BARRAQUER-GRUPO RENFE-POLICLINICO","MACARENA","ESPAÑOLES",53,56,109
"DOCTOR BARRAQUER-GRUPO RENFE-POLICLINICO","MACARENA","EXTRANJEROS",12,11,23
"DOCTOR BARRAQUER-GRUPO RENFE-POLICLINICO","MACARENA","TOTAL POBLACION",65,67,132
"EL CARMEN","MACARENA","ESPAÑOLES",16,27,43
"EL CARMEN","MACARENA","EXTRANJEROS",5,5,10
"EL CARMEN","MACARENA","TOTAL POBLACION",21,32,53
"EL CEREZO","MACARENA","ESPAÑOLES",38,39,77
"EL CEREZO","MACARENA","EXTRANJEROS",28,33,61
"EL CEREZO","MACARENA","TOTAL POBLACION",66,72,138
"EL CERRO","CERRO-AMATE","ESPAÑOLES",104,107,211
"EL CERRO","CERRO-AMATE","EXTRANJEROS",35,33,68
"EL CERRO","CERRO-AMATE","TOTAL POBLACION",139,140,279
"EL FONTANAL-MARIA AUXILIADORA-CARRETERA DE CARMONA","S. PABLO-STA. JUSTA","ESPAÑOLES",49,50,99
"EL FONTANAL-MARIA AUXILIADORA-CARRETERA DE CARMONA","S. PABLO-STA. JUSTA","EXTRANJEROS",4,6,10
"EL FONTANAL-MARIA AUXILIADORA-CARRETERA DE CARMONA","S. PABLO-STA. JUSTA","TOTAL POBLACION",53,56,109
"EL GORDILLO","NORTE","ESPAÑOLES",10,12,22
"EL GORDILLO","NORTE","EXTRANJEROS",3,3,6
"EL GORDILLO","NORTE","TOTAL POBLACION",13,15,28
"EL JUNCAL-HISPALIS","SUR","ESPAÑOLES",55,62,117
"EL JUNCAL-HISPALIS","SUR","EXTRANJEROS",9,20,29
"EL JUNCAL-HISPALIS","SUR","TOTAL POBLACION",64,82,146
"EL PLANTINAR","SUR","ESPAÑOLES",50,53,103
"EL PLANTINAR","SUR","EXTRANJEROS",11,8,19
"EL PLANTINAR","SUR","TOTAL POBLACION",61,61,122
"EL PORVENIR","SUR","ESPAÑOLES",81,91,172
"EL PORVENIR","SUR","EXTRANJEROS",4,13,17
"EL PORVENIR","SUR","TOTAL POBLACION",85,104,189
"EL PRADO-PARQUE MARIA LUISA","SUR","ESPAÑOLES",14,17,31
"EL PRADO-PARQUE MARIA LUISA","SUR","EXTRANJEROS",0,1,1
"EL PRADO-PARQUE MARIA LUISA","SUR","TOTAL POBLACION",14,18,32
"EL ROCIO","MACARENA","ESPAÑOLES",21,18,39
"EL ROCIO","MACARENA","EXTRANJEROS",17,30,47
"EL ROCIO","MACARENA","TOTAL POBLACION",38,48,86
"EL TARDON-EL CARMEN","TRIANA","ESPAÑOLES",74,97,171
"EL TARDON-EL CARMEN","TRIANA","EXTRANJEROS",13,13,26
"EL TARDON-EL CARMEN","TRIANA","NO CONSTA",1,0,1
"EL TARDON-EL CARMEN","TRIANA","TOTAL POBLACION",88,110,198
"EL TORREJON","MACARENA","ESPAÑOLES",16,19,35
"EL TORREJON","MACARENA","EXTRANJEROS",9,10,19
"EL TORREJON","MACARENA","TOTAL POBLACION",25,29,54
"ELCANO-BERMEJALES","BELLAVISTA-LA PALMERA","ESPAÑOLES",174,166,340
"ELCANO-BERMEJALES","BELLAVISTA-LA PALMERA","EXTRANJEROS",12,16,28
"ELCANO-BERMEJALES","BELLAVISTA-LA PALMERA","NO CONSTA",1,0,1
"ELCANO-BERMEJALES","BELLAVISTA-LA PALMERA","TOTAL POBLACION",187,182,369
"ENCARNACI¿N-REGINA","CASCO ANTIGUO","ESPAÑOLES",53,58,111
"ENCARNACI¿N-REGINA","CASCO ANTIGUO","EXTRANJEROS",4,10,14
"ENCARNACI¿N-REGINA","CASCO ANTIGUO","TOTAL POBLACION",57,68,125
"FELIPE II-LOS DIEZ MANDAMIENTOS","SUR","ESPAÑOLES",14,16,30
"FELIPE II-LOS DIEZ MANDAMIENTOS","SUR","EXTRANJEROS",7,8,15
"FELIPE II-LOS DIEZ MANDAMIENTOS","SUR","TOTAL POBLACION",21,24,45
"FERIA","CASCO ANTIGUO","ESPAÑOLES",99,78,177
"FERIA","CASCO ANTIGUO","EXTRANJEROS",16,19,35
"FERIA","CASCO ANTIGUO","TOTAL POBLACION",115,97,212
"GIRALDA SUR","SUR","ESPAÑOLES",30,33,63
"GIRALDA SUR","SUR","EXTRANJEROS",7,7,14
"GIRALDA SUR","SUR","TOTAL POBLACION",37,40,77
"HELIOPOLIS","BELLAVISTA-LA PALMERA","ESPAÑOLES",14,19,33
"HELIOPOLIS","BELLAVISTA-LA PALMERA","EXTRANJEROS",2,1,3
"HELIOPOLIS","BELLAVISTA-LA PALMERA","TOTAL POBLACION",16,20,36
"HERMANDADES-LA CARRASCA","MACARENA","ESPAÑOLES",60,59,119
"HERMANDADES-LA CARRASCA","MACARENA","EXTRANJEROS",21,32,53
"HERMANDADES-LA CARRASCA","MACARENA","TOTAL POBLACION",81,91,172
"HUERTA DE LA SALUD","SUR","ESPAÑOLES",65,49,114
"HUERTA DE LA SALUD","SUR","EXTRANJEROS",0,2,2
"HUERTA DE LA SALUD","SUR","TOTAL POBLACION",65,51,116
"HUERTA DE SANTA TERESA","S. PABLO-STA. JUSTA","ESPAÑOLES",96,77,173
"HUERTA DE SANTA TERESA","S. PABLO-STA. JUSTA","EXTRANJEROS",15,13,28
"HUERTA DE SANTA TERESA","S. PABLO-STA. JUSTA","TOTAL POBLACION",111,90,201
"HUERTA DEL PILAR","NERVION","ESPAÑOLES",62,61,123
"HUERTA DEL PILAR","NERVION","EXTRANJEROS",6,1,7
"HUERTA DEL PILAR","NERVION","TOTAL POBLACION",68,62,130
"JUAN XXIII","CERRO-AMATE","ESPAÑOLES",62,53,115
"JUAN XXIII","CERRO-AMATE","EXTRANJEROS",11,25,36
"JUAN XXIII","CERRO-AMATE","TOTAL POBLACION",73,78,151
"LA BACHILLERA","NORTE","ESPAÑOLES",19,15,34
"LA BACHILLERA","NORTE","EXTRANJEROS",5,5,10
"LA BACHILLERA","NORTE","TOTAL POBLACION",24,20,44
"LA BARZOLA","MACARENA","ESPAÑOLES",11,17,28
"LA BARZOLA","MACARENA","EXTRANJEROS",0,2,2
"LA BARZOLA","MACARENA","TOTAL POBLACION",11,19,30
"LA BUHAIRA","NERVION","ESPAÑOLES",109,102,211
"LA BUHAIRA","NERVION","EXTRANJEROS",10,13,23
"LA BUHAIRA","NERVION","TOTAL POBLACION",119,115,234
"LA CALZADA","NERVION","ESPAÑOLES",51,59,110
"LA CALZADA","NERVION","EXTRANJEROS",7,2,9
"LA CALZADA","NERVION","TOTAL POBLACION",58,61,119
"LA CORZA","S. PABLO-STA. JUSTA","ESPAÑOLES",3,11,14
"LA CORZA","S. PABLO-STA. JUSTA","TOTAL POBLACION",3,11,14
"LA FLORIDA","NERVION","ESPAÑOLES",26,22,48
"LA FLORIDA","NERVION","EXTRANJEROS",3,4,7
"LA FLORIDA","NERVION","TOTAL POBLACION",29,26,55
"LA OLIVA","SUR","ESPAÑOLES",66,58,124
"LA OLIVA","SUR","EXTRANJEROS",21,24,45
"LA OLIVA","SUR","TOTAL POBLACION",87,82,169
"LA PALMILLA-DOCTOR MARA¿ON","MACARENA","ESPAÑOLES",17,33,50
"LA PALMILLA-DOCTOR MARA¿ON","MACARENA","EXTRANJEROS",19,19,38
"LA PALMILLA-DOCTOR MARA¿ON","MACARENA","TOTAL POBLACION",36,52,88
"LA PAZ-LAS GOLONDRINAS","MACARENA","ESPAÑOLES",43,43,86
"LA PAZ-LAS GOLONDRINAS","MACARENA","EXTRANJEROS",10,16,26
"LA PAZ-LAS GOLONDRINAS","MACARENA","TOTAL POBLACION",53,59,112
"LA PLATA","CERRO-AMATE","ESPAÑOLES",127,124,251
"LA PLATA","CERRO-AMATE","EXTRANJEROS",53,52,105
"LA PLATA","CERRO-AMATE","TOTAL POBLACION",180,176,356
"LAS ALMENAS","NORTE","ESPAÑOLES",20,28,48
"LAS ALMENAS","NORTE","EXTRANJEROS",3,2,5
"LAS ALMENAS","NORTE","TOTAL POBLACION",23,30,53
"LAS AVENIDAS","MACARENA","ESPAÑOLES",28,34,62
"LAS AVENIDAS","MACARENA","EXTRANJEROS",10,16,26
"LAS AVENIDAS","MACARENA","TOTAL POBLACION",38,50,88
"LAS HUERTAS","S. PABLO-STA. JUSTA","ESPAÑOLES",41,40,81
"LAS HUERTAS","S. PABLO-STA. JUSTA","EXTRANJEROS",2,4,6
"LAS HUERTAS","S. PABLO-STA. JUSTA","TOTAL POBLACION",43,44,87
"LAS LETANIAS","SUR","ESPAÑOLES",30,54,84
"LAS LETANIAS","SUR","EXTRANJEROS",13,14,27
"LAS LETANIAS","SUR","TOTAL POBLACION",43,68,111
"LAS NACIONES-PARQUE ATLANTICO-LAS DALIAS","NORTE","ESPAÑOLES",30,30,60
"LAS NACIONES-PARQUE ATLANTICO-LAS DALIAS","NORTE","EXTRANJEROS",0,2,2
"LAS NACIONES-PARQUE ATLANTICO-LAS DALIAS","NORTE","TOTAL POBLACION",30,32,62
"LEON XIII-LOS NARANJOS","MACARENA","ESPAÑOLES",56,67,123
"LEON XIII-LOS NARANJOS","MACARENA","EXTRANJEROS",8,7,15
"LEON XIII-LOS NARANJOS","MACARENA","TOTAL POBLACION",64,74,138
"LOS ARCOS","NORTE","ESPAÑOLES",23,32,55
"LOS ARCOS","NORTE","EXTRANJEROS",3,1,4
"LOS ARCOS","NORTE","TOTAL POBLACION",26,33,59
"LOS CARTEROS","NORTE","ESPAÑOLES",11,5,16
"LOS CARTEROS","NORTE","EXTRANJEROS",1,0,1
"LOS CARTEROS","NORTE","TOTAL POBLACION",12,5,17
"LOS PAJAROS","CERRO-AMATE","ESPAÑOLES",142,165,307
"LOS PAJAROS","CERRO-AMATE","EXTRANJEROS",111,109,220
"LOS PAJAROS","CERRO-AMATE","NO CONSTA",1,0,1
"LOS PAJAROS","CERRO-AMATE","TOTAL POBLACION",254,274,528
"LOS PRINCIPES-LA FONTANILLA","MACARENA","ESPAÑOLES",52,50,102
