"CD","ND","DESTINO","NACION","HOMBRES","MUJERES","TOTAL"
" 00","TOTAL MUNICIPIO","- TODOS -","ESPAÑOLES",7600,7677,15277
" 00","TOTAL MUNICIPIO","- TODOS -","EXTRANJEROS",1058,1137,2195
" 00","TOTAL MUNICIPIO","- TODOS -","NO CONSTA",3,0,3
" 00","TOTAL MUNICIPIO","- TODOS -","TOTAL POBLACION",8661,8814,17475
" 01","CASCO ANTIGUO","- TODOS -","ESPAÑOLES",813,790,1603
" 01","CASCO ANTIGUO","- TODOS -","EXTRANJEROS",95,112,207
" 01","CASCO ANTIGUO","- TODOS -","NO CONSTA",1,0,1
" 01","CASCO ANTIGUO","- TODOS -","TOTAL POBLACION",909,902,1811
" 01","CASCO ANTIGUO","ALBACETE","ESPAÑOLES",0,1,1
" 01","CASCO ANTIGUO","ALBACETE","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","ALICANTE","ESPAÑOLES",5,6,11
" 01","CASCO ANTIGUO","ALICANTE","EXTRANJEROS",1,3,4
" 01","CASCO ANTIGUO","ALICANTE","TOTAL POBLACION",6,9,15
" 01","CASCO ANTIGUO","ALMERIA","ESPAÑOLES",2,5,7
" 01","CASCO ANTIGUO","ALMERIA","EXTRANJEROS",1,1,2
" 01","CASCO ANTIGUO","ALMERIA","TOTAL POBLACION",3,6,9
" 01","CASCO ANTIGUO","ARABA/ALAVA","ESPAÑOLES",0,1,1
" 01","CASCO ANTIGUO","ARABA/ALAVA","NO CONSTA",1,0,1
" 01","CASCO ANTIGUO","ARABA/ALAVA","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","ASTURIAS","ESPAÑOLES",0,4,4
" 01","CASCO ANTIGUO","ASTURIAS","TOTAL POBLACION",0,4,4
" 01","CASCO ANTIGUO","AVILA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","AVILA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","BADAJOZ","ESPAÑOLES",15,15,30
" 01","CASCO ANTIGUO","BADAJOZ","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","BADAJOZ","TOTAL POBLACION",15,16,31
" 01","CASCO ANTIGUO","BALEARES","ESPAÑOLES",16,11,27
" 01","CASCO ANTIGUO","BALEARES","EXTRANJEROS",4,2,6
" 01","CASCO ANTIGUO","BALEARES","TOTAL POBLACION",20,13,33
" 01","CASCO ANTIGUO","BARCELONA","ESPAÑOLES",29,21,50
" 01","CASCO ANTIGUO","BARCELONA","EXTRANJEROS",9,6,15
" 01","CASCO ANTIGUO","BARCELONA","TOTAL POBLACION",38,27,65
" 01","CASCO ANTIGUO","BIZKAIA","ESPAÑOLES",3,4,7
" 01","CASCO ANTIGUO","BIZKAIA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","BIZKAIA","TOTAL POBLACION",4,4,8
" 01","CASCO ANTIGUO","BURGOS","ESPAÑOLES",0,2,2
" 01","CASCO ANTIGUO","BURGOS","TOTAL POBLACION",0,2,2
" 01","CASCO ANTIGUO","CACERES","ESPAÑOLES",3,3,6
" 01","CASCO ANTIGUO","CACERES","TOTAL POBLACION",3,3,6
" 01","CASCO ANTIGUO","CADIZ","ESPAÑOLES",45,56,101
" 01","CASCO ANTIGUO","CADIZ","EXTRANJEROS",4,4,8
" 01","CASCO ANTIGUO","CADIZ","TOTAL POBLACION",49,60,109
" 01","CASCO ANTIGUO","CANTABRIA","ESPAÑOLES",1,1,2
" 01","CASCO ANTIGUO","CANTABRIA","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","CASTELLON","ESPAÑOLES",0,1,1
" 01","CASCO ANTIGUO","CASTELLON","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","CEUTA","ESPAÑOLES",3,1,4
" 01","CASCO ANTIGUO","CEUTA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","CEUTA","TOTAL POBLACION",4,1,5
" 01","CASCO ANTIGUO","CIUDAD REAL","ESPAÑOLES",0,1,1
" 01","CASCO ANTIGUO","CIUDAD REAL","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","CORDOBA","ESPAÑOLES",13,16,29
" 01","CASCO ANTIGUO","CORDOBA","EXTRANJEROS",0,2,2
" 01","CASCO ANTIGUO","CORDOBA","TOTAL POBLACION",13,18,31
" 01","CASCO ANTIGUO","CUENCA","ESPAÑOLES",1,1,2
" 01","CASCO ANTIGUO","CUENCA","TOTAL POBLACION",1,1,2
