"CD","ND","DESTINO","NACION","HOMBRES","MUJERES","TOTAL"
" 00","TOTAL MUNICIPIO","- TODOS -","ESPAÑOLES",7154,7300,14454
" 00","TOTAL MUNICIPIO","- TODOS -","EXTRANJEROS",1302,1592,2894
" 00","TOTAL MUNICIPIO","- TODOS -","NO CONSTA",4,1,5
" 00","TOTAL MUNICIPIO","- TODOS -","TOTAL POBLACION",8460,8893,17353
" 01","CASCO ANTIGUO","- TODOS -","ESPAÑOLES",764,730,1494
" 01","CASCO ANTIGUO","- TODOS -","EXTRANJEROS",102,138,240
" 01","CASCO ANTIGUO","- TODOS -","TOTAL POBLACION",866,868,1734
" 01","CASCO ANTIGUO","ALBACETE","ESPAÑOLES",0,2,2
" 01","CASCO ANTIGUO","ALBACETE","TOTAL POBLACION",0,2,2
" 01","CASCO ANTIGUO","ALICANTE","ESPAÑOLES",2,4,6
" 01","CASCO ANTIGUO","ALICANTE","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","ALICANTE","TOTAL POBLACION",2,5,7
" 01","CASCO ANTIGUO","ALMERIA","ESPAÑOLES",5,5,10
" 01","CASCO ANTIGUO","ALMERIA","EXTRANJEROS",1,2,3
" 01","CASCO ANTIGUO","ALMERIA","TOTAL POBLACION",6,7,13
" 01","CASCO ANTIGUO","ARABA/ALAVA","ESPAÑOLES",1,1,2
" 01","CASCO ANTIGUO","ARABA/ALAVA","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","ASTURIAS","ESPAÑOLES",3,4,7
" 01","CASCO ANTIGUO","ASTURIAS","EXTRANJEROS",1,1,2
" 01","CASCO ANTIGUO","ASTURIAS","TOTAL POBLACION",4,5,9
" 01","CASCO ANTIGUO","AVILA","ESPAÑOLES",2,1,3
" 01","CASCO ANTIGUO","AVILA","TOTAL POBLACION",2,1,3
" 01","CASCO ANTIGUO","BADAJOZ","ESPAÑOLES",7,9,16
" 01","CASCO ANTIGUO","BADAJOZ","EXTRANJEROS",1,1,2
" 01","CASCO ANTIGUO","BADAJOZ","TOTAL POBLACION",8,10,18
" 01","CASCO ANTIGUO","BALEARES","ESPAÑOLES",15,12,27
" 01","CASCO ANTIGUO","BALEARES","EXTRANJEROS",2,9,11
" 01","CASCO ANTIGUO","BALEARES","TOTAL POBLACION",17,21,38
" 01","CASCO ANTIGUO","BARCELONA","ESPAÑOLES",20,22,42
" 01","CASCO ANTIGUO","BARCELONA","EXTRANJEROS",7,15,22
" 01","CASCO ANTIGUO","BARCELONA","TOTAL POBLACION",27,37,64
" 01","CASCO ANTIGUO","BIZKAIA","ESPAÑOLES",1,4,5
" 01","CASCO ANTIGUO","BIZKAIA","EXTRANJEROS",2,0,2
" 01","CASCO ANTIGUO","BIZKAIA","TOTAL POBLACION",3,4,7
" 01","CASCO ANTIGUO","CACERES","ESPAÑOLES",5,2,7
" 01","CASCO ANTIGUO","CACERES","TOTAL POBLACION",5,2,7
" 01","CASCO ANTIGUO","CADIZ","ESPAÑOLES",53,42,95
" 01","CASCO ANTIGUO","CADIZ","EXTRANJEROS",2,7,9
" 01","CASCO ANTIGUO","CADIZ","TOTAL POBLACION",55,49,104
" 01","CASCO ANTIGUO","CANTABRIA","ESPAÑOLES",1,2,3
" 01","CASCO ANTIGUO","CANTABRIA","TOTAL POBLACION",1,2,3
" 01","CASCO ANTIGUO","CASTELLON","ESPAÑOLES",1,0,1
" 01","CASCO ANTIGUO","CASTELLON","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","CEUTA","ESPAÑOLES",2,1,3
