"DESTINO";"NACION";"HOMBRES";"MUJERES";"TOTAL"
"- TODOS -";"ESPAÑOLES";7246;7376;14622
"- TODOS -";"EXTRANJEROS";1414;1562;2976
"- TODOS -";"NO CONSTA";5;4;9
"- TODOS -";"TOTAL POBLACION";8665;8942;17607
"ALBACETE";"ESPAÑOLES";7;10;17
"ALBACETE";"EXTRANJEROS";3;5;8
"ALBACETE";"TOTAL POBLACION";10;15;25
"ALICANTE";"ESPAÑOLES";38;46;84
"ALICANTE";"EXTRANJEROS";29;30;59
"ALICANTE";"TOTAL POBLACION";67;76;143
"ALMERIA";"ESPAÑOLES";36;37;73
"ALMERIA";"EXTRANJEROS";20;13;33
"ALMERIA";"TOTAL POBLACION";56;50;106
"ARABA/ALAVA";"ESPAÑOLES";1;3;4
"ARABA/ALAVA";"EXTRANJEROS";2;6;8
"ARABA/ALAVA";"NO CONSTA";1;0;1
"ARABA/ALAVA";"TOTAL POBLACION";4;9;13
"ASTURIAS";"ESPAÑOLES";21;8;29
"ASTURIAS";"EXTRANJEROS";8;5;13
"ASTURIAS";"TOTAL POBLACION";29;13;42
"AVILA";"ESPAÑOLES";6;4;10
"AVILA";"EXTRANJEROS";1;0;1
"AVILA";"TOTAL POBLACION";7;4;11
"BADAJOZ";"ESPAÑOLES";117;106;223
"BADAJOZ";"EXTRANJEROS";23;39;62
"BADAJOZ";"TOTAL POBLACION";140;145;285
"BALEARES";"ESPAÑOLES";81;68;149
"BALEARES";"EXTRANJEROS";16;9;25
"BALEARES";"TOTAL POBLACION";97;77;174
"BARCELONA";"ESPAÑOLES";145;157;302
"BARCELONA";"EXTRANJEROS";105;88;193
"BARCELONA";"TOTAL POBLACION";250;245;495
"BIZKAIA";"ESPAÑOLES";27;20;47
"BIZKAIA";"EXTRANJEROS";30;25;55
"BIZKAIA";"TOTAL POBLACION";57;45;102
"BURGOS";"ESPAÑOLES";5;9;14
"BURGOS";"EXTRANJEROS";2;7;9
"BURGOS";"TOTAL POBLACION";7;16;23
"CACERES";"ESPAÑOLES";18;19;37
"CACERES";"EXTRANJEROS";6;5;11
"CACERES";"TOTAL POBLACION";24;24;48
"CADIZ";"ESPAÑOLES";435;493;928
"CADIZ";"EXTRANJEROS";61;58;119
"CADIZ";"TOTAL POBLACION";496;551;1047
"CANTABRIA";"ESPAÑOLES";9;15;24
"CANTABRIA";"EXTRANJEROS";8;6;14
"CANTABRIA";"TOTAL POBLACION";17;21;38
"CASTELLON";"ESPAÑOLES";9;12;21
"CASTELLON";"EXTRANJEROS";7;7;14
"CASTELLON";"TOTAL POBLACION";16;19;35
"CEUTA";"ESPAÑOLES";21;6;27
"CEUTA";"TOTAL POBLACION";21;6;27
"CIUDAD REAL";"ESPAÑOLES";27;23;50
"CIUDAD REAL";"EXTRANJEROS";8;12;20
"CIUDAD REAL";"TOTAL POBLACION";35;35;70
"CORDOBA";"ESPAÑOLES";80;78;158
"CORDOBA";"EXTRANJEROS";8;17;25
"CORDOBA";"NO CONSTA";1;0;1
"CORDOBA";"TOTAL POBLACION";89;95;184
"CUENCA";"ESPAÑOLES";3;2;5
"CUENCA";"EXTRANJEROS";3;4;7
"CUENCA";"TOTAL POBLACION";6;6;12
"EXTRAJERO";"ESPAÑOLES";351;343;694
"EXTRAJERO";"EXTRANJEROS";34;63;97
"EXTRAJERO";"TOTAL POBLACION";385;406;791
"GERONA";"ESPAÑOLES";13;12;25
"GERONA";"EXTRANJEROS";11;12;23
"GERONA";"TOTAL POBLACION";24;24;48
"GIPUZKOA";"ESPAÑOLES";17;12;29
"GIPUZKOA";"EXTRANJEROS";20;11;31
"GIPUZKOA";"TOTAL POBLACION";37;23;60
"GRANADA";"ESPAÑOLES";78;74;152
"GRANADA";"EXTRANJEROS";21;23;44
"GRANADA";"TOTAL POBLACION";99;97;196
"GUADALAJARA";"ESPAÑOLES";8;14;22
"GUADALAJARA";"EXTRANJEROS";4;4;8
"GUADALAJARA";"TOTAL POBLACION";12;18;30
"HUELVA";"ESPAÑOLES";378;429;807
"HUELVA";"EXTRANJEROS";80;82;162
"HUELVA";"TOTAL POBLACION";458;511;969
"HUESCA";"ESPAÑOLES";8;5;13
"HUESCA";"EXTRANJEROS";2;3;5
"HUESCA";"TOTAL POBLACION";10;8;18
"JAEN";"ESPAÑOLES";42;51;93
"JAEN";"EXTRANJEROS";11;15;26
"JAEN";"TOTAL POBLACION";53;66;119
"LA CORUÑA";"ESPAÑOLES";20;21;41
"LA CORUÑA";"EXTRANJEROS";7;5;12
"LA CORUÑA";"TOTAL POBLACION";27;26;53
"LA RIOJA";"ESPAÑOLES";4;4;8
"LA RIOJA";"EXTRANJEROS";5;5;10
"LA RIOJA";"TOTAL POBLACION";9;9;18
"LAS PALMAS";"ESPAÑOLES";96;87;183
"LAS PALMAS";"EXTRANJEROS";15;12;27
"LAS PALMAS";"TOTAL POBLACION";111;99;210
"LEON";"ESPAÑOLES";13;3;16
"LEON";"EXTRANJEROS";5;6;11
"LEON";"TOTAL POBLACION";18;9;27
"LLEIDA";"ESPAÑOLES";9;11;20
"LLEIDA";"EXTRANJEROS";15;12;27
"LLEIDA";"TOTAL POBLACION";24;23;47
"LUGO";"ESPAÑOLES";1;7;8
"LUGO";"EXTRANJEROS";3;4;7
"LUGO";"TOTAL POBLACION";4;11;15
"MADRID";"ESPAÑOLES";468;440;908
"MADRID";"EXTRANJEROS";193;156;349
"MADRID";"NO CONSTA";1;2;3
"MADRID";"TOTAL POBLACION";662;598;1260
"MALAGA";"ESPAÑOLES";252;221;473
"MALAGA";"EXTRANJEROS";80;96;176
"MALAGA";"TOTAL POBLACION";332;317;649
"MELILLA";"ESPAÑOLES";19;13;32
"MELILLA";"EXTRANJEROS";1;1;2
"MELILLA";"TOTAL POBLACION";20;14;34
"MURCIA";"ESPAÑOLES";26;22;48
"MURCIA";"EXTRANJEROS";38;30;68
"MURCIA";"TOTAL POBLACION";64;52;116
"NAVARRA";"ESPAÑOLES";19;14;33
"NAVARRA";"EXTRANJEROS";7;6;13
"NAVARRA";"TOTAL POBLACION";26;20;46
"ORENSE";"ESPAÑOLES";3;4;7
"ORENSE";"EXTRANJEROS";0;2;2
"ORENSE";"TOTAL POBLACION";3;6;9
"PALENCIA";"ESPAÑOLES";4;4;8
"PALENCIA";"EXTRANJEROS";1;3;4
"PALENCIA";"TOTAL POBLACION";5;7;12
"PONTEVEDRA";"ESPAÑOLES";13;14;27
"PONTEVEDRA";"EXTRANJEROS";3;3;6
"PONTEVEDRA";"TOTAL POBLACION";16;17;33
"SALAMANCA";"ESPAÑOLES";9;12;21
"SALAMANCA";"EXTRANJEROS";2;2;4
"SALAMANCA";"TOTAL POBLACION";11;14;25
"SANTA CRUZ DE TENERIFE";"ESPAÑOLES";74;82;156
"SANTA CRUZ DE TENERIFE";"EXTRANJEROS";13;8;21
"SANTA CRUZ DE TENERIFE";"TOTAL POBLACION";87;90;177
"SEGOVIA";"ESPAÑOLES";5;6;11
"SEGOVIA";"EXTRANJEROS";1;0;1
"SEGOVIA";"TOTAL POBLACION";6;6;12
"SEVILLA";"ESPAÑOLES";4096;4230;8326
"SEVILLA";"EXTRANJEROS";398;563;961
"SEVILLA";"NO CONSTA";2;2;4
"SEVILLA";"TOTAL POBLACION";4496;4795;9291
"SORIA";"ESPAÑOLES";2;2;4
"SORIA";"EXTRANJEROS";1;0;1
"SORIA";"TOTAL POBLACION";3;2;5
"TARRAGONA";"ESPAÑOLES";10;11;21
"TARRAGONA";"EXTRANJEROS";8;12;20
"TARRAGONA";"TOTAL POBLACION";18;23;41
"TERUEL";"ESPAÑOLES";2;4;6
"TERUEL";"EXTRANJEROS";2;4;6
"TERUEL";"TOTAL POBLACION";4;8;12
"TOLEDO";"ESPAÑOLES";24;19;43
"TOLEDO";"EXTRANJEROS";23;18;41
"TOLEDO";"TOTAL POBLACION";47;37;84
"VALENCIA";"ESPAÑOLES";52;56;108
"VALENCIA";"EXTRANJEROS";39;46;85
"VALENCIA";"TOTAL POBLACION";91;102;193
"VALLADOLID";"ESPAÑOLES";11;4;15
"VALLADOLID";"EXTRANJEROS";11;5;16
"VALLADOLID";"TOTAL POBLACION";22;9;31
"ZAMORA";"ESPAÑOLES";2;2;4
"ZAMORA";"EXTRANJEROS";3;3;6
"ZAMORA";"TOTAL POBLACION";5;5;10
"ZARAGOZA";"ESPAÑOLES";31;27;58
"ZARAGOZA";"EXTRANJEROS";17;11;28
"ZARAGOZA";"TOTAL POBLACION";48;38;86
