"CD","ND","NACION","HOMBRES","MUJERES","TOTAL"
" 00","TOTAL MUNICIPIO","ESPAÑOLES",7600,7677,15277
" 00","TOTAL MUNICIPIO","EXTRANJEROS",1058,1137,2195
" 00","TOTAL MUNICIPIO","NO CONSTA",3,0,3
" 00","TOTAL MUNICIPIO","TOTAL POBLACION",8661,8814,17475
" 01","CASCO ANTIGUO","ESPAÑOLES",813,790,1603
" 01","CASCO ANTIGUO","EXTRANJEROS",95,112,207
" 01","CASCO ANTIGUO","NO CONSTA",1,0,1
" 01","CASCO ANTIGUO","TOTAL POBLACION",909,902,1811
" 02","MACARENA","ESPAÑOLES",833,867,1700
" 02","MACARENA","EXTRANJEROS",209,197,406
" 02","MACARENA","TOTAL POBLACION",1042,1064,2106
" 03","NERVION","ESPAÑOLES",517,560,1077
" 03","NERVION","EXTRANJEROS",55,62,117
" 03","NERVION","TOTAL POBLACION",572,622,1194
" 04","CERRO-AMATE","ESPAÑOLES",864,866,1730
" 04","CERRO-AMATE","EXTRANJEROS",197,175,372
" 04","CERRO-AMATE","TOTAL POBLACION",1061,1041,2102
" 05","SUR","ESPAÑOLES",815,868,1683
" 05","SUR","EXTRANJEROS",111,144,255
" 05","SUR","TOTAL POBLACION",926,1012,1938
" 06","TRIANA","ESPAÑOLES",596,642,1238
" 06","TRIANA","EXTRANJEROS",68,98,166
" 06","TRIANA","TOTAL POBLACION",664,740,1404
" 07","NORTE","ESPAÑOLES",706,656,1362
" 07","NORTE","EXTRANJEROS",71,62,133
" 07","NORTE","NO CONSTA",1,0,1
" 07","NORTE","TOTAL POBLACION",778,718,1496
" 08","S. PABLO-STA. JUSTA","ESPAÑOLES",618,569,1187
" 08","S. PABLO-STA. JUSTA","EXTRANJEROS",63,79,142
" 08","S. PABLO-STA. JUSTA","NO CONSTA",1,0,1
" 08","S. PABLO-STA. JUSTA","TOTAL POBLACION",682,648,1330
" 09","ESTE","ESPAÑOLES",1018,1013,2031
" 09","ESTE","EXTRANJEROS",130,115,245
" 09","ESTE","TOTAL POBLACION",1148,1128,2276
" 10","BELLAVISTA-LA PALMERA","ESPAÑOLES",541,531,1072
" 10","BELLAVISTA-LA PALMERA","EXTRANJEROS",43,63,106
" 10","BELLAVISTA-LA PALMERA","TOTAL POBLACION",584,594,1178
" 11","LOS REMEDIOS","ESPAÑOLES",279,315,594
" 11","LOS REMEDIOS","EXTRANJEROS",16,30,46
" 11","LOS REMEDIOS","TOTAL POBLACION",295,345,640
