"CD","DISTRITO","PROCEDENCIA","NACIONALIDAD","HOMBRES","MUJERES","TOTAL"
" 01","CASCO ANTIGUO","- TODOS -","ESPA�OLES",634,718,1352
" 01","CASCO ANTIGUO","- TODOS -","EXTRANJEROS",219,283,502
" 01","CASCO ANTIGUO","- TODOS -","TOTAL POBLACION",853,1001,1854
" 01","CASCO ANTIGUO","ALBANIA","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","ALBANIA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","ALEMANIA","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","ALEMANIA","EXTRANJEROS",10,10,20
" 01","CASCO ANTIGUO","ALEMANIA","TOTAL POBLACION",10,11,21
" 01","CASCO ANTIGUO","ARABIA SAUDITA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","ARABIA SAUDITA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","ARGELIA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","ARGELIA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","ARGENTINA","EXTRANJEROS",3,5,8
" 01","CASCO ANTIGUO","ARGENTINA","TOTAL POBLACION",3,5,8
" 01","CASCO ANTIGUO","AUSTRALIA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","AUSTRALIA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","AUSTRIA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","AUSTRIA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","BELGICA","ESPA�OLES",1,1,2
" 01","CASCO ANTIGUO","BELGICA","EXTRANJEROS",1,4,5
" 01","CASCO ANTIGUO","BELGICA","TOTAL POBLACION",2,5,7
" 01","CASCO ANTIGUO","BOLIVIA","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","BOLIVIA","EXTRANJEROS",3,0,3
" 01","CASCO ANTIGUO","BOLIVIA","TOTAL POBLACION",4,0,4
" 01","CASCO ANTIGUO","BRASIL","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","BRASIL","EXTRANJEROS",5,8,13
" 01","CASCO ANTIGUO","BRASIL","TOTAL POBLACION",6,8,14
" 01","CASCO ANTIGUO","CAMBOYA","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","CAMBOYA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","CANADA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","CANADA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","CHILE","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","CHILE","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","CHINA","ESPA�OLES",4,3,7
" 01","CASCO ANTIGUO","CHINA","EXTRANJEROS",7,8,15
" 01","CASCO ANTIGUO","CHINA","TOTAL POBLACION",11,11,22
" 01","CASCO ANTIGUO","COLOMBIA","ESPA�OLES",1,1,2
" 01","CASCO ANTIGUO","COLOMBIA","EXTRANJEROS",1,9,10
" 01","CASCO ANTIGUO","COLOMBIA","TOTAL POBLACION",2,10,12
" 01","CASCO ANTIGUO","COSTA RICA","EXTRANJEROS",0,2,2
" 01","CASCO ANTIGUO","COSTA RICA","TOTAL POBLACION",0,2,2
" 01","CASCO ANTIGUO","CUBA","ESPA�OLES",1,1,2
" 01","CASCO ANTIGUO","CUBA","EXTRANJEROS",3,4,7
" 01","CASCO ANTIGUO","CUBA","TOTAL POBLACION",4,5,9
" 01","CASCO ANTIGUO","ECUADOR","ESPA�OLES",2,1,3
" 01","CASCO ANTIGUO","ECUADOR","EXTRANJEROS",1,2,3
" 01","CASCO ANTIGUO","ECUADOR","TOTAL POBLACION",3,3,6
" 01","CASCO ANTIGUO","EGIPTO","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","EGIPTO","TOTAL POBLACION",0,1,1
