"CD","DISTRITO","PROCEDENCIA","NACIONALIDAD","HOMBRES","MUJERES","TOTAL"
" 01","CASCO ANTIGUO","- TODOS -","ESPA�OLES",755,775,1530
" 01","CASCO ANTIGUO","- TODOS -","EXTRANJEROS",518,627,1145
" 01","CASCO ANTIGUO","- TODOS -","TOTAL POBLACION",1273,1402,2675
" 01","CASCO ANTIGUO","ALBANIA","EXTRANJEROS",2,2,4
" 01","CASCO ANTIGUO","ALBANIA","TOTAL POBLACION",2,2,4
" 01","CASCO ANTIGUO","ALEMANIA","ESPA�OLES",5,3,8
" 01","CASCO ANTIGUO","ALEMANIA","EXTRANJEROS",17,22,39
" 01","CASCO ANTIGUO","ALEMANIA","TOTAL POBLACION",22,25,47
" 01","CASCO ANTIGUO","ARGELIA","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","ARGELIA","EXTRANJEROS",4,0,4
" 01","CASCO ANTIGUO","ARGELIA","TOTAL POBLACION",5,0,5
" 01","CASCO ANTIGUO","ARGENTINA","ESPA�OLES",4,2,6
" 01","CASCO ANTIGUO","ARGENTINA","EXTRANJEROS",14,20,34
" 01","CASCO ANTIGUO","ARGENTINA","TOTAL POBLACION",18,22,40
" 01","CASCO ANTIGUO","AUSTRALIA","EXTRANJEROS",3,3,6
" 01","CASCO ANTIGUO","AUSTRALIA","TOTAL POBLACION",3,3,6
" 01","CASCO ANTIGUO","AUSTRIA","EXTRANJEROS",0,4,4
" 01","CASCO ANTIGUO","AUSTRIA","TOTAL POBLACION",0,4,4
" 01","CASCO ANTIGUO","BELGICA","ESPA�OLES",2,0,2
" 01","CASCO ANTIGUO","BELGICA","EXTRANJEROS",3,11,14
" 01","CASCO ANTIGUO","BELGICA","TOTAL POBLACION",5,11,16
" 01","CASCO ANTIGUO","BIELORUSIA","EXTRANJEROS",0,2,2
" 01","CASCO ANTIGUO","BIELORUSIA","TOTAL POBLACION",0,2,2
" 01","CASCO ANTIGUO","BOLIVIA","EXTRANJEROS",1,1,2
" 01","CASCO ANTIGUO","BOLIVIA","TOTAL POBLACION",1,1,2
" 01","CASCO ANTIGUO","BOSNIA-HERZEGOVINA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","BOSNIA-HERZEGOVINA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","BRASIL","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","BRASIL","EXTRANJEROS",11,7,18
" 01","CASCO ANTIGUO","BRASIL","TOTAL POBLACION",12,7,19
" 01","CASCO ANTIGUO","BULGARIA","EXTRANJEROS",0,1,1
" 01","CASCO ANTIGUO","BULGARIA","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","CAMERUN","ESPA�OLES",0,1,1
" 01","CASCO ANTIGUO","CAMERUN","TOTAL POBLACION",0,1,1
" 01","CASCO ANTIGUO","CANADA","ESPA�OLES",3,0,3
" 01","CASCO ANTIGUO","CANADA","EXTRANJEROS",3,5,8
" 01","CASCO ANTIGUO","CANADA","TOTAL POBLACION",6,5,11
" 01","CASCO ANTIGUO","CHILE","ESPA�OLES",7,3,10
" 01","CASCO ANTIGUO","CHILE","EXTRANJEROS",10,8,18
" 01","CASCO ANTIGUO","CHILE","TOTAL POBLACION",17,11,28
" 01","CASCO ANTIGUO","CHINA","EXTRANJEROS",4,2,6
" 01","CASCO ANTIGUO","CHINA","TOTAL POBLACION",4,2,6
" 01","CASCO ANTIGUO","COLOMBIA","ESPA�OLES",1,2,3
" 01","CASCO ANTIGUO","COLOMBIA","EXTRANJEROS",18,26,44
" 01","CASCO ANTIGUO","COLOMBIA","TOTAL POBLACION",19,28,47
" 01","CASCO ANTIGUO","COSTA RICA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","COSTA RICA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","CROACIA","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","CROACIA","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","CUBA","ESPA�OLES",1,0,1
" 01","CASCO ANTIGUO","CUBA","EXTRANJEROS",4,6,10
" 01","CASCO ANTIGUO","CUBA","TOTAL POBLACION",5,6,11
" 01","CASCO ANTIGUO","DINAMARCA","ESPA�OLES",0,2,2
" 01","CASCO ANTIGUO","DINAMARCA","EXTRANJEROS",5,2,7
" 01","CASCO ANTIGUO","DINAMARCA","TOTAL POBLACION",5,4,9
" 01","CASCO ANTIGUO","ECUADOR","EXTRANJEROS",3,6,9
" 01","CASCO ANTIGUO","ECUADOR","TOTAL POBLACION",3,6,9
" 01","CASCO ANTIGUO","EGIPTO","EXTRANJEROS",1,0,1
" 01","CASCO ANTIGUO","EGIPTO","TOTAL POBLACION",1,0,1
" 01","CASCO ANTIGUO","EL SALVADOR","EXTRANJEROS",2,4,6
" 01","CASCO ANTIGUO","EL SALVADOR","TOTAL POBLACION",2,4,6
" 01","CASCO ANTIGUO","EMIRATOS ARABES UNIDOS","ESPA�OLES",2,0,2
" 01","CASCO ANTIGUO","EMIRATOS ARABES UNIDOS","TOTAL POBLACION",2,0,2
" 01","CASCO ANTIGUO","ESPA�A","ESPA�OLES",672,712,1384
" 01","CASCO ANTIGUO","ESPA�A","EXTRANJEROS",157,154,311
" 01","CASCO ANTIGUO","ESPA�A","TOTAL POBLACION",829,866,1695
" 01","CASCO ANTIGUO","ESTADOS UNIDOS DE AMERICA","ESPA�OLES",5,8,13
