"CD","ND","GRUPO","HOMBRES","MUJERES","TOTAL"
" 00","01 TOTAL DISTRITOS","TOTAL POBLACION",332100,366576,698676
" 01","CASCO ANTIGUO"," 00",208,203,411
" 01","CASCO ANTIGUO"," 01",230,265,495
" 01","CASCO ANTIGUO"," 02",245,215,460
" 01","CASCO ANTIGUO"," 03",211,226,437
" 01","CASCO ANTIGUO"," 04",252,220,472
" 01","CASCO ANTIGUO"," 05",257,233,490
" 01","CASCO ANTIGUO"," 06",258,237,495
" 01","CASCO ANTIGUO"," 07",263,251,514
" 01","CASCO ANTIGUO"," 08",258,245,503
" 01","CASCO ANTIGUO"," 09",269,243,512
" 01","CASCO ANTIGUO"," 10",261,260,521
" 01","CASCO ANTIGUO"," 11",285,246,531
" 01","CASCO ANTIGUO"," 12",242,281,523
" 01","CASCO ANTIGUO"," 13",250,255,505
" 01","CASCO ANTIGUO"," 14",249,245,494
" 01","CASCO ANTIGUO"," 15",241,242,483
" 01","CASCO ANTIGUO"," 16",229,255,484
" 01","CASCO ANTIGUO"," 17",225,229,454
" 01","CASCO ANTIGUO"," 18",209,219,428
" 01","CASCO ANTIGUO"," 19",221,186,407
" 01","CASCO ANTIGUO"," 20",188,217,405
" 01","CASCO ANTIGUO"," 21",234,222,456
" 01","CASCO ANTIGUO"," 22",224,227,451
" 01","CASCO ANTIGUO"," 23",234,263,497
" 01","CASCO ANTIGUO"," 24",243,258,501
" 01","CASCO ANTIGUO"," 25",253,281,534
" 01","CASCO ANTIGUO"," 26",273,319,592
" 01","CASCO ANTIGUO"," 27",297,367,664
" 01","CASCO ANTIGUO"," 28",284,347,631
" 01","CASCO ANTIGUO"," 29",317,365,682
" 01","CASCO ANTIGUO"," 30",310,397,707
" 01","CASCO ANTIGUO"," 31",345,404,749
" 01","CASCO ANTIGUO"," 32",368,423,791
" 01","CASCO ANTIGUO"," 33",414,436,850
" 01","CASCO ANTIGUO"," 34",419,490,909
" 01","CASCO ANTIGUO"," 35",454,475,929
" 01","CASCO ANTIGUO"," 36",501,506,1007
" 01","CASCO ANTIGUO"," 37",512,480,992
" 01","CASCO ANTIGUO"," 38",509,543,1052
" 01","CASCO ANTIGUO"," 39",515,505,1020
" 01","CASCO ANTIGUO"," 40",535,530,1065
" 01","CASCO ANTIGUO"," 41",535,525,1060
" 01","CASCO ANTIGUO"," 42",525,530,1055
" 01","CASCO ANTIGUO"," 43",534,530,1064
" 01","CASCO ANTIGUO"," 44",504,511,1015
" 01","CASCO ANTIGUO"," 45",496,564,1060
" 01","CASCO ANTIGUO"," 46",487,507,994
" 01","CASCO ANTIGUO"," 47",570,506,1076
" 01","CASCO ANTIGUO"," 48",524,479,1003
" 01","CASCO ANTIGUO"," 49",486,509,995
" 01","CASCO ANTIGUO"," 50",505,490,995
" 01","CASCO ANTIGUO"," 51",499,525,1024
" 01","CASCO ANTIGUO"," 52",482,504,986
" 01","CASCO ANTIGUO"," 53",499,495,994
" 01","CASCO ANTIGUO"," 54",516,457,973
" 01","CASCO ANTIGUO"," 55",387,440,827
" 01","CASCO ANTIGUO"," 56",383,451,834
" 01","CASCO ANTIGUO"," 57",386,431,817
" 01","CASCO ANTIGUO"," 58",358,388,746
" 01","CASCO ANTIGUO"," 59",393,405,798
" 01","CASCO ANTIGUO"," 60",363,430,793
" 01","CASCO ANTIGUO"," 61",340,428,768
" 01","CASCO ANTIGUO"," 62",311,377,688
" 01","CASCO ANTIGUO"," 63",341,382,723
" 01","CASCO ANTIGUO"," 64",320,364,684
" 01","CASCO ANTIGUO"," 65",306,352,658
" 01","CASCO ANTIGUO"," 66",311,349,660
" 01","CASCO ANTIGUO"," 67",270,370,640
" 01","CASCO ANTIGUO"," 68",274,338,612
" 01","CASCO ANTIGUO"," 69",277,318,595
" 01","CASCO ANTIGUO"," 70",255,322,577
" 01","CASCO ANTIGUO"," 71",244,337,581
" 01","CASCO ANTIGUO"," 72",228,303,531
