Distritos de Sevilla;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
Bellavista - La Palmera;7,24;7,28;7,32;7,08;7,27;7,29;7,09;7,07;7,03;7,21;7,33;7,44
Casco Antiguo;9,10;8,98;9,01;8,93;8,96;8,76;8,88;9,00;8,95;9,10;9,34;9,57
Cerro - Amate;6,14;6,04;6,03;6,04;6,26;6,27;6,26;6,29;6,38;6,46;6,56;6,67
Este - Alcosa- Torreblanca;6,07;6,07;6,19;6,20;6,29;6,25;6,42;6,39;6,42;6,46;6,39;6,33
Los Remedios;8,13;8,30;8,34;8,43;8,43;8,18;7,99;8,02;7,97;7,94;8,10;8,26
Macarena;6,87;6,80;6,80;7,06;7,24;7,26;6,96;6,99;7,03;7,10;7,15;7,19
Nervión;8,17;8,22;8,17;8,45;8,46;8,17;7,96;7,91;7,94;8,16;8,28;8,40
Norte ;6,51;6,17;6,19;6,35;6,46;6,52;6,46;6,32;6,20;6,58;6,54;6,50
San Pablo - Santa Justa;7,34;7,44;7,54;7,70;7,53;7,54;7,49;7,36;7,36;7,60;7,59;7,57
Sur;7,30;7,22;7,44;7,39;7,56;7,40;7,20;7,26;7,38;7,47;7,57;7,66
Triana;8,32;8,27;8,49;8,47;8,41;8,33;8,04;8,09;8,31;8,69;8,64;8,59
