Distritos de Sevilla;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
Bellavista - La Palmera;7,56;7,45;7,41;7,47;7,70;7,66;7,57;7,69;7,56;7,73;7,80;7,90
Casco Antiguo;9,74;9,82;9,76;9,78;9,68;9,64;9,45;9,25;9,19;9,29;9,09;8,87
Cerro - Amate;6,52;6,62;6,73;6,70;6,73;6,79;6,60;6,53;6,68;6,65;6,51;6,51
Este - Alcosa- Torreblanca;6,51;6,40;6,42;6,37;6,69;6,90;6,62;6,80;6,97;6,96;6,97;7,04
Los Remedios;8,23;8,31;8,53;8,82;8,52;8,87;8,78;8,99;8,96;8,97;9,18;9,28
Macarena;7,09;7,26;7,34;7,47;7,54;7,67;7,59;7,53;7,57;7,70;7,75;7,82
Nervión;8,53;8,76;8,39;8,30;8,40;8,29;8,21;8,16;8,11;7,71;7,59;7,44
Norte ;6,57;;6,62;6,66;6,83;6,82;6,84;6,94;7,18;7,38;7,46;7,12
San Pablo - Santa Justa;7,54;7,56;7,43;7,65;7,45;7,54;7,46;7,53;7,59;7,55;7,59;7,36
Sur;7,73;7,72;7,68;7,70;7,48;7,81;7,69;7,69;7,63;7,84;8,03;7,94
Triana;8,54;8,65;8,94;9,41;9,24;8,97;8,98;9,36;8,78;8,94;9,18;8,84
