DISTRITOS SEVILLA;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE
1. Bellavista-Jardines de Hércules;1 331 €;1 292 €;1 306 €;1 292 €;1 227 €;1 180 €;1 226 €;1 216 €;1 216 €;1 248 €;1 307 €;1 244 €
2. Centro;3 037 €;3 034 €;3 014 €;3 030 €;3 028 €;3 022 €;3 004 €;2 976 €;2 976 €;2 963 €;2 942 €;2 936 €
3. Cerro Amate;1 027 €;1 037 €;1 041 €;1 031 €;1 055 €;1 013 €;1 014 €;1 031 €;1 038 €;1 051 €;1 034 €;1 039 €
4. La Palmera-Los Bermejales;2 297 €;2 379 €;2 370 €;2 357 €;2 332 €;2 341 €;2 315 €;2 306 €;2 241 €;2 218 €;2 188 €;2 172 €
5. Los Remedios;2 611 €;2 633 €;2 642 €;2 660 €;2 667 €;2 680 €;2 682 €;2 666 €;2 653 €;2 652 €;2 644 €;2 629 €
6. Macarena;1 331 €;1 371 €;1 393 €;1 392 €;1 381 €;1 340 €;1 348 €;1 335 €;1 340 €;1 337 €;1 339 €;1 354 €
7. Nervión;2 551 €;2 533 €;2 524 €;2 514 €;2 488 €;2 461 €;2 457 €;2 444 €;2 422 €;2 460 €;2 446 €;2 443 €
8. Parque Alcosa;1 096 €;1 066 €;1 067 €;1 095 €;1 105 €;1 105 €;1 087 €;1 084 €;1 095 €;1 092 €;1 084 €;1 084 €
9. Pino Montano;1 205 €;1 212 €;1 205 €;1 227 €;1 201 €;1 213 €;1 248 €;1 250 €;1 254 €;1 250 €;1 212 €;1 175 €
10. Prado San Sebastián-Felipe II- Bueno Monreal;2 548 €;2 549 €;2 559 €;2 564 €;2 690 €;2 706 €;2 700 €;2 602 €;2 605 €;2 654 €;2 637 €;2 645 €
10. San jerónimo;1 079 €;1 084 €;1 067 €;1 086 €;1 123 €;1 088 €;1 092 €;1 082 €;1 068 €;1 066 €;1 040 €;1 053 €
11. San Pablo;1 266 €;1 223 €;1 215 €;1 189 €;1 196 €;1 139 €;1 117 €;1 162 €;1 203 €;1 211 €;1 254 €;1 175 €
12. Santa Clara;2 053 €;2 084 €;2 080 €;2 065 €;2 090 €;2 081 €;2 084 €;2 090 €;2 068 €;2 059 €;2 049 €;2 101 €
13. Santa Justa-Miraflores-Cruz Roja;2 039 €;2 045 €;2 050 €;2 066 €;2 072 €;2 058 €;2 046 €;2 078 €;2 092 €;2 080 €;2 068 €;2 047 €
14. Sevilla Este;1 696 €;1 679 €;1 683 €;1 705 €;1 705 €;1 722 €;1 710 €;1 697 €;1 677 €;1 700 €;1 699 €;1 666 €
15. Torreblanca;667 €;667 €;657 €;649 €;652 €;619 €;630 €;651 €;672 €;696 €;679 €;693 €
16. Triana;2 569 €;2 639 €;2 660 €;2 710 €;2 722 €;2 710 €;2 624 €;2 581 €;2 497 €;2 467 €;2 435 €;2 473 €
