id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
airbnb59d812058a46550354a962321,https://www.airbnb.es/rooms/24124875,-5.9976055425903905,37.40214036185952,2018-04-06 23:27:53.441000,2018-04-18 15:16:29.639000,airbnb26157318,private_room,0,4,0,1,45
airbnb59d812058a46550354a962322,https://www.airbnb.es/rooms/23621131,-5.997398965570528,37.40197797876967,2018-04-06 23:27:53.441000,2018-06-01 23:01:13.793000,airbnb176729843,private_room,1,2,12,1,23
airbnb59d812058a46550354a962323,https://www.airbnb.es/rooms/901976,-5.997267845741343,37.4021408828729,2017-08-14 16:19:43.325000,2018-09-22 02:52:42.374000,airbnb4813585,entire_home,0,6,2,2,
airbnb59d812058a46550354a962324,https://www.airbnb.es/rooms/9992556,-5.997267330826283,37.40201527625252,2017-08-14 16:19:25.653000,2017-10-01 08:28:23.116000,airbnb51337428,private_room,1,2,5,1,20
airbnb59d812058a46550354a962325,https://www.airbnb.es/rooms/17261586,-5.997468347415775,37.401803059173155,2017-08-14 16:19:17.128000,2017-09-05 04:22:05.854000,airbnb1379382,entire_home,1,3,1,3,67
airbnb59d812058a46550354a962326,https://www.airbnb.es/rooms/940632,-5.997240130900727,37.401729401977,2017-08-14 16:19:39.023000,2018-09-22 02:08:30.069000,airbnb4813585,entire_home,0,4,0,2,
airbnb59d812058a46550354a962327,https://www.airbnb.es/rooms/23635895,-5.997206567052114,37.40166895737018,2018-04-06 23:27:53.441000,2018-05-10 18:22:11.247000,airbnb176729843,private_room,1,4,7,1,31
airbnb59d812058a46550354a962328,https://www.airbnb.es/rooms/930946,-5.996766626952783,37.40214560623925,2017-08-14 16:19:43.325000,2018-09-22 03:31:14.364000,airbnb4813585,entire_home,0,6,2,2,
airbnb59d812058a46550354a962329,https://www.airbnb.es/rooms/17932898,-5.9968876640180975,37.402070165435525,2017-08-14 16:19:30.116000,2017-10-01 08:28:45.273000,airbnb1379382,entire_home,1,3,0,3,63
airbnb59d812058a46550354a9623210,https://www.airbnb.es/rooms/18705820,-5.996832334127296,37.402879955874994,2017-08-14 16:02:49.393000,2018-05-30 11:18:47.361000,airbnb127144131,entire_home,2,6,26,1,45
airbnb59d812058a46550354a9623211,https://www.airbnb.es/rooms/23618464,-5.994100605429571,37.40358954442277,2018-05-25 06:47:52.199000,2018-06-05 21:27:31.461000,airbnb171077550,private_room,1,2,5,2,42
airbnb59d812058a46550354a9623212,https://www.airbnb.es/rooms/8902585,-5.994326022444204,37.40320281932612,2017-08-14 16:03:09.400000,2017-09-05 04:22:33.791000,airbnb46532910,entire_home,4,8,57,1,70
airbnb59d812058a46550354a9623213,https://www.airbnb.es/rooms/15330905,-5.994357174297485,37.40316855068193,2017-08-14 16:03:17.946000,2018-05-30 11:19:14.263000,airbnb14826115,private_room,0,2,14,1,35
airbnb59d812058a46550354a9623214,https://www.airbnb.es/rooms/689851,-5.994191182356689,37.403477549864135,2017-08-14 16:03:09.400000,2017-10-01 08:29:07.412000,airbnb3524125,private_room,1,2,50,2,75
airbnb59d812058a46550354a9623215,https://www.airbnb.es/rooms/17579724,-5.99547234923651,37.40249636488684,2017-08-14 16:18:43.631000,2018-05-30 11:19:02.669000,airbnb119408720,entire_home,2,4,95,2,66
airbnb59d812058a46550354a9623216,https://www.airbnb.es/rooms/5414323,-5.995417392535679,37.40266659864876,2017-08-14 16:19:43.325000,2017-10-01 08:29:36.579000,airbnb3360193,entire_home,1,3,8,2,80
