id,url,longitude,latitude,found,revised,host-id,room_type,bedrooms,capacity,reviews,min_nights,price
airbnb59d812068a46550354a9623b1,https://www.airbnb.es/rooms/22884230,-6.004,37.387,2018-05-07 11:48:11.704000,2018-09-22 03:11:48.872000,airbnb169345175,entire_home,2,2,34,2,
airbnb59d812068a46550354a9623b2,https://www.airbnb.es/rooms/5528055,-6.004188207131261,37.38679827733856,2017-08-14 16:08:43.736000,2018-09-22 03:14:58.786000,airbnb28669627,entire_home,0,4,33,2,
airbnb59d812068a46550354a9623b3,https://www.airbnb.es/rooms/24344359,-6.003902305642101,37.386352686614195,2018-05-07 11:48:11.708000,2018-06-01 22:00:29.384000,airbnb68794478,private_room,0,2,1,2,95
airbnb59d812068a46550354a9623b4,https://www.airbnb.es/rooms/4898673,-6.003936720668573,37.38635997761266,2017-08-14 16:09:19.968000,2017-10-01 12:25:45.846000,airbnb25213359,entire_home,2,4,5,6,70
airbnb59d812068a46550354a9623b5,https://www.airbnb.es/rooms/7818095,-6.00439706322436,37.3864700426532,2017-08-14 16:09:24.773000,2018-09-22 03:14:58.979000,airbnb41159005,private_room,0,2,6,3,
airbnb59d812068a46550354a9623b6,https://www.airbnb.es/rooms/23087649,-6.004395886166911,37.38640425390071,2018-05-07 11:48:11.705000,2018-09-22 02:46:35.027000,airbnb19949618,entire_home,3,6,36,2,
airbnb59d812068a46550354a9623b7,https://www.airbnb.es/rooms/13797844,-6.004191582336682,37.38618295904347,2017-08-14 16:12:18.343000,2018-09-22 03:10:32.335000,airbnb32752566,entire_home,2,4,104,2,
airbnb59d812068a46550354a9623b8,https://www.airbnb.es/rooms/24663598,-6.0042882116897704,37.38625859098262,2018-05-07 11:48:11.705000,2018-06-01 21:59:25.556000,airbnb186398390,entire_home,3,6,2,2,83
airbnb59d812068a46550354a9623b9,https://www.airbnb.es/rooms/3332320,-6.004411573819584,37.38614337865324,2017-08-14 16:12:18.343000,2018-09-22 02:48:16.258000,airbnb4641167,entire_home,2,4,104,1,
airbnb59d812068a46550354a9623b10,https://www.airbnb.es/rooms/18071881,-6.004351870138763,37.38606286692171,2017-08-14 16:12:36.342000,2017-10-01 12:26:15.579000,airbnb49142334,private_room,1,2,1,1,131
airbnb59d812068a46550354a9623b11,https://www.airbnb.es/rooms/3311224,-6.004120809350936,37.38606168001451,2017-08-14 16:12:22.643000,2018-09-22 03:09:24.055000,airbnb12395642,entire_home,2,3,253,2,
airbnb59d812068a46550354a9623b12,https://www.airbnb.es/rooms/17783397,-6.004,37.386,2017-08-14 16:08:56.616000,2018-09-22 03:00:28.983000,airbnb121449238,entire_home,3,6,48,2,
airbnb59d812068a46550354a9623b13,https://www.airbnb.es/rooms/2251290,-6.004,37.386,2017-08-14 16:08:43.736000,2018-09-22 03:07:18.792000,airbnb1379382,entire_home,3,6,122,2,
airbnb59d812068a46550354a9623b14,https://www.airbnb.es/rooms/13343484,-6.004027403197888,37.38596378536228,2017-08-14 16:12:06.306000,2017-10-01 12:26:28.965000,airbnb67438246,entire_home,0,2,30,3,35
airbnb59d812068a46550354a9623b15,https://www.airbnb.es/rooms/23647255,-6.003931587600133,37.38557295490926,2018-05-07 11:48:11.707000,2018-09-22 02:55:21.732000,airbnb37040238,entire_home,3,6,6,2,
airbnb59d812068a46550354a9623b16,https://www.airbnb.es/rooms/18946067,-6.003478465231082,37.385732936173774,2017-08-14 16:12:06.306000,2018-09-22 03:10:51.797000,airbnb132080529,entire_home,2,4,71,2,
airbnb59d812068a46550354a9623b17,https://www.airbnb.es/rooms/22014330,-6.003220223174041,37.385395754483355,2018-05-07 11:48:09.326000,2018-09-22 03:12:42.214000,airbnb160753678,entire_home,3,6,55,2,
airbnb59d812068a46550354a9623b18,https://www.airbnb.es/rooms/14366466,-5.999243538708645,37.382935100181264,2017-08-14 16:11:28.475000,2018-09-22 02:11:20.817000,airbnb56838814,entire_home,2,4,17,3,
airbnb59d812068a46550354a9623b19,https://www.airbnb.es/rooms/22524779,-5.999930795620911,37.38321321718559,2018-05-07 11:47:45.095000,2018-06-01 21:59:16.658000,airbnb165229084,entire_home,3,5,28,1,72
airbnb59d812068a46550354a9623b20,https://www.airbnb.es/rooms/17402490,-6.0,37.383,2017-08-14 16:11:32.304000,2018-09-22 02:15:00.591000,airbnb31420918,entire_home,2,4,3,2,
airbnb59d812068a46550354a9623b21,https://www.airbnb.es/rooms/15796069,-6.0,37.383,2017-08-14 16:12:14.241000,2018-09-22 02:58:54.648000,airbnb31148870,entire_home,3,4,63,2,
airbnb59d812068a46550354a9623b22,https://www.airbnb.es/rooms/17509237,-6.0,37.383,2017-08-14 16:12:32.060000,2018-09-22 02:55:38.764000,airbnb31420918,entire_home,2,4,3,2,
airbnb59d812068a46550354a9623b23,https://www.airbnb.es/rooms/17509936,-6.0,37.383,2017-08-14 16:11:36.569000,2018-06-01 21:50:21.245000,airbnb31420918,entire_home,2,4,3,2,78
airbnb59d812068a46550354a9623b24,https://www.airbnb.es/rooms/3359092,-6.0,37.383,2017-08-14 16:11:24.070000,2018-09-22 01:22:04.569000,airbnb6162974,entire_home,2,4,193,2,
airbnb59d812068a46550354a9623b25,https://www.airbnb.es/rooms/17509633,-6.0,37.383,2017-08-14 16:11:32.304000,2018-09-22 01:30:44.417000,airbnb31420918,entire_home,2,4,2,2,
airbnb59d812068a46550354a9623b26,https://www.airbnb.es/rooms/2520167,-6.0,37.383,2017-08-14 16:11:19.976000,2018-09-22 01:40:21.753000,airbnb12731128,entire_home,0,4,84,3,
airbnb59d812068a46550354a9623b27,https://www.airbnb.es/rooms/21034929,-6.0,37.383,2018-05-07 11:46:40.043000,2018-09-22 01:40:04.744000,airbnb6162974,entire_home,2,4,60,2,
airbnb59d812068a46550354a9623b28,https://www.airbnb.es/rooms/12895296,-6.000263465722329,37.383088935207596,2017-08-14 16:11:28.475000,2018-09-22 03:07:25.944000,airbnb12160007,entire_home,5,9,37,3,
airbnb59d812068a46550354a9623b29,https://www.airbnb.es/rooms/17275225,-6.00038960689105,37.38335705983284,2017-08-14 16:11:36.569000,2017-10-01 12:29:11.789000,airbnb116495984,entire_home,2,5,2,2,55
airbnb59d812068a46550354a9623b30,https://www.airbnb.es/rooms/22289900,-6.000290605058049,37.38369456465481,2018-05-07 11:47:57.861000,2018-09-22 03:04:12.858000,airbnb860055,entire_home,2,4,5,3,
airbnb59d812068a46550354a9623b31,https://www.airbnb.es/rooms/2276018,-6.000076410336701,37.38369415810596,2017-08-14 16:12:27.563000,2018-09-22 03:14:46.851000,airbnb11592582,entire_home,0,2,28,2,
airbnb59d812068a46550354a9623b32,https://www.airbnb.es/rooms/24260229,-6.000383032416254,37.384009731190794,2018-05-07 11:47:57.860000,2018-06-01 22:01:21.785000,airbnb35972283,private_room,1,2,8,1,35
airbnb59d812068a46550354a9623b33,https://www.airbnb.es/rooms/17614438,-6.000525055029506,37.3841165811155,2017-08-14 16:12:14.241000,2018-09-22 03:13:19.275000,airbnb1391956,entire_home,1,5,37,2,
airbnb59d812068a46550354a9623b34,https://www.airbnb.es/rooms/25116634,-6.000538246755926,37.38408172967556,2018-05-25 13:10:20.843000,2018-09-22 03:06:32.548000,airbnb180827830,entire_home,3,6,1,1,
airbnb59d812068a46550354a9623b35,https://www.airbnb.es/rooms/24028962,-6.000523262561264,37.38401064059872,2018-05-07 11:47:57.861000,2018-09-22 03:06:06.389000,airbnb180827830,entire_home,3,6,1,1,
airbnb59d812068a46550354a9623b36,https://www.airbnb.es/rooms/17530413,-6.000495886627229,37.38389812317968,2017-08-14 16:12:10.159000,2018-06-01 21:56:43.897000,airbnb103035770,entire_home,3,4,78,2,95
airbnb59d812068a46550354a9623b37,https://www.airbnb.es/rooms/13122086,-6.0006910645215426,37.38392300878981,2017-08-14 16:12:27.563000,2018-09-22 02:53:46.035000,airbnb31517112,private_room,2,2,27,1,
airbnb59d812068a46550354a9623b38,https://www.airbnb.es/rooms/1123440,-6.001,37.384,2017-08-14 16:12:18.343000,2018-09-22 03:10:14.612000,airbnb6162974,entire_home,2,4,284,2,
airbnb59d812068a46550354a9623b39,https://www.airbnb.es/rooms/23273219,-6.001,37.384,2018-05-07 11:47:37.764000,2018-09-22 03:03:31.396000,airbnb105842350,entire_home,2,4,0,3,
airbnb59d812068a46550354a9623b40,https://www.airbnb.es/rooms/23273486,-6.001,37.384,2018-05-25 13:10:14.977000,2018-09-22 03:05:35.823000,airbnb105842350,entire_home,2,4,0,3,
airbnb59d812068a46550354a9623b41,https://www.airbnb.es/rooms/15267804,-6.000890351964143,37.38371014791672,2017-08-14 16:12:27.563000,2018-06-01 21:57:02.596000,airbnb97127786,entire_home,1,2,30,3,66
airbnb59d812068a46550354a9623b42,https://www.airbnb.es/rooms/17641360,-6.0009176350858215,37.38375721397016,2017-08-14 16:12:36.342000,2017-09-05 08:18:56.104000,airbnb29955725,entire_home,2,4,2,3,45
airbnb59d812068a46550354a9623b43,https://www.airbnb.es/rooms/17664911,-6.000852231958163,37.3835175711554,2017-08-14 16:12:10.159000,2018-09-22 03:09:52.319000,airbnb120234542,private_room,1,2,157,1,
airbnb59d812068a46550354a9623b44,https://www.airbnb.es/rooms/6850441,-6.000769675387792,37.3836219043207,2017-08-14 16:12:22.643000,2017-10-01 12:30:13.077000,airbnb15995293,private_room,3,3,9,2,35
airbnb59d812068a46550354a9623b45,https://www.airbnb.es/rooms/24026179,-6.000506287153845,37.38380990767465,2018-05-07 11:47:57.861000,2018-09-22 02:57:23.586000,airbnb106799901,entire_home,1,2,19,2,
airbnb59d812068a46550354a9623b46,https://www.airbnb.es/rooms/23089060,-6.000677848565158,37.38344538600179,2018-05-07 11:47:45.096000,2018-09-22 03:09:56.649000,airbnb11592582,entire_home,3,6,1,3,
airbnb59d812068a46550354a9623b47,https://www.airbnb.es/rooms/10958149,-6.000732918621677,37.38332835632599,2017-08-14 16:11:36.569000,2018-09-22 03:05:55.887000,airbnb56838814,entire_home,2,7,29,3,
airbnb59d812068a46550354a9623b48,https://www.airbnb.es/rooms/11618702,-6.000634250406449,37.38339580099001,2017-08-14 16:11:36.569000,2018-09-22 03:04:25.406000,airbnb56838814,entire_home,3,6,35,2,
airbnb59d812068a46550354a9623b49,https://www.airbnb.es/rooms/5389175,-6.000651773186347,37.383293942197646,2017-08-14 16:11:24.070000,2018-09-22 02:57:41.871000,airbnb4015124,entire_home,2,4,51,2,
airbnb59d812068a46550354a9623b50,https://www.airbnb.es/rooms/6071807,-6.000661306385304,37.38297774793675,2017-08-14 16:11:24.070000,2018-09-22 02:48:51.950000,airbnb31517112,private_room,1,2,69,2,
airbnb59d812068a46550354a9623b51,https://www.airbnb.es/rooms/11810016,-6.001,37.383,2017-08-14 16:11:15.811000,2018-09-22 01:30:21.418000,airbnb24074969,entire_home,1,3,96,2,
airbnb59d812068a46550354a9623b52,https://www.airbnb.es/rooms/21181157,-6.001,37.383,2018-05-07 11:47:49.503000,2018-09-22 02:52:02.901000,airbnb14958822,entire_home,2,4,31,2,
airbnb59d812068a46550354a9623b53,https://www.airbnb.es/rooms/13751258,-6.001084215842198,37.38309311057081,2017-08-14 16:11:32.304000,2018-09-22 02:58:32.767000,airbnb80567662,entire_home,3,4,13,2,
airbnb59d812068a46550354a9623b54,https://www.airbnb.es/rooms/21236236,-6.001252102315192,37.383333248759826,2018-05-07 11:47:37.763000,2018-09-22 03:13:04.042000,airbnb153481456,entire_home,2,3,14,2,
airbnb59d812068a46550354a9623b55,https://www.airbnb.es/rooms/18717815,-6.001371396668929,37.38306248850602,2017-08-14 16:11:11.831000,2018-09-22 02:47:52.608000,airbnb49873291,entire_home,2,4,86,2,
airbnb59d812068a46550354a9623b56,https://www.airbnb.es/rooms/15439514,-6.001686782445315,37.38312602176075,2017-08-14 16:11:32.304000,2017-10-01 12:30:54.269000,airbnb99015094,entire_home,5,16,1,2,199
airbnb59d812068a46550354a9623b57,https://www.airbnb.es/rooms/14068184,-6.001586514443656,37.383212513826535,2017-08-14 16:11:15.811000,2018-09-22 02:49:34.798000,airbnb84472810,entire_home,2,4,113,2,
airbnb59d812068a46550354a9623b58,https://www.airbnb.es/rooms/17186638,-6.001739399669772,37.38327006039843,2017-08-14 16:11:15.811000,2018-09-22 02:56:29.440000,airbnb115669804,entire_home,2,4,19,2,
airbnb59d812068a46550354a9623b59,https://www.airbnb.es/rooms/17187197,-6.001689385965989,37.383436953298634,2017-08-14 16:11:28.475000,2018-09-22 03:00:02.367000,airbnb115669804,entire_home,2,4,1,2,
airbnb59d812068a46550354a9623b60,https://www.airbnb.es/rooms/21290904,-6.001740153504901,37.38410201636656,2018-05-07 11:47:49.503000,2018-09-22 02:51:15.532000,airbnb6087792,entire_home,2,4,62,1,
airbnb59d812068a46550354a9623b61,https://www.airbnb.es/rooms/23272452,-6.001549057643244,37.3841476029607,2018-05-07 11:47:49.503000,2018-09-22 03:01:44.563000,airbnb15589434,entire_home,7,16,18,2,
airbnb59d812068a46550354a9623b62,https://www.airbnb.es/rooms/439044,-6.001517002040517,37.384141748040854,2018-05-07 11:47:49.503000,2018-05-10 18:00:12.385000,airbnb2175318,private_room,2,2,88,2,32
airbnb59d812068a46550354a9623b63,https://www.airbnb.es/rooms/11683177,-6.00170716729376,37.38440421268904,2017-08-14 16:12:06.306000,2018-09-22 02:52:59.237000,airbnb62064504,private_room,0,2,64,1,
airbnb59d812068a46550354a9623b64,https://www.airbnb.es/rooms/4294937,-6.001719000906408,37.38467026251847,2017-08-14 16:12:27.563000,2018-06-01 21:58:36.669000,airbnb5827669,entire_home,4,8,68,3,325
airbnb59d812068a46550354a9623b65,https://www.airbnb.es/rooms/21485478,-6.0015417177133275,37.38462300066561,2018-05-25 13:10:05.661000,2018-09-22 02:49:44.670000,airbnb49873291,entire_home,2,4,50,2,
airbnb59d812068a46550354a9623b66,https://www.airbnb.es/rooms/5122200,-6.001545237155144,37.384446985517116,2017-08-14 16:12:22.643000,2018-06-01 21:58:58.237000,airbnb5372915,entire_home,1,2,212,2,60
airbnb59d812068a46550354a9623b67,https://www.airbnb.es/rooms/18105089,-6.001186451422172,37.38462647841136,2017-08-14 16:12:06.306000,2018-09-22 02:52:10.531000,airbnb49873291,entire_home,2,4,58,2,
airbnb59d812068a46550354a9623b68,https://www.airbnb.es/rooms/23623782,-6.0012720529908705,37.384263544515484,2018-05-07 11:47:49.504000,2018-05-10 18:00:19.286000,airbnb92301502,entire_home,2,5,1,2,92
airbnb59d812068a46550354a9623b69,https://www.airbnb.es/rooms/18515478,-6.0011263972428965,37.38413482724948,2017-08-14 16:12:14.241000,2018-09-22 03:14:00.446000,airbnb128415352,entire_home,0,4,11,2,
airbnb59d812068a46550354a9623b70,https://www.airbnb.es/rooms/14890533,-6.000942488546197,37.38429012741681,2017-08-14 16:12:32.060000,2018-09-22 03:10:30.389000,airbnb47922447,entire_home,1,2,7,2,
airbnb59d812068a46550354a9623b71,https://www.airbnb.es/rooms/18267020,-6.000918971802811,37.384292999379845,2017-08-14 16:12:10.159000,2017-10-01 12:32:05.860000,airbnb126273051,entire_home,0,2,18,2,55
airbnb59d812068a46550354a9623b72,https://www.airbnb.es/rooms/3421518,-6.001201360272803,37.385303600187356,2017-08-14 16:12:40.455000,2017-09-05 08:21:06.223000,airbnb12604391,entire_home,2,4,0,1,100
airbnb59d812068a46550354a9623b73,https://www.airbnb.es/rooms/21237649,-6.001989193383223,37.38517712486966,2018-05-25 13:10:08.286000,2018-09-22 03:12:36.003000,airbnb5527707,entire_home,3,6,46,2,
airbnb59d812068a46550354a9623b74,https://www.airbnb.es/rooms/23839052,-6.0023753625583645,37.38498399732311,2018-05-25 13:10:23.372000,2018-06-01 22:01:47.182000,airbnb11717988,entire_home,2,4,0,3,84
airbnb59d812068a46550354a9623b75,https://www.airbnb.es/rooms/18892548,-6.001941931405136,37.38457163803522,2017-08-14 16:12:32.060000,2017-10-01 12:32:21.878000,airbnb131649767,private_room,1,2,0,3,44
airbnb59d812068a46550354a9623b76,https://www.airbnb.es/rooms/15748387,-6.002053598457189,37.38445817295193,2017-08-14 16:12:10.159000,2018-09-22 02:47:06.598000,airbnb326665,entire_home,2,4,74,1,
airbnb59d812068a46550354a9623b77,https://www.airbnb.es/rooms/11815196,-6.001780403687294,37.384482687739165,2017-08-14 16:12:32.060000,2017-10-01 12:32:33.646000,airbnb39241300,entire_home,2,4,11,2,140
airbnb59d812068a46550354a9623b78,https://www.airbnb.es/rooms/10205129,-6.002212055803969,37.384164863010824,2017-08-14 16:12:14.241000,2018-09-22 03:10:22.858000,airbnb52428868,entire_home,0,4,141,2,
airbnb59d812068a46550354a9623b79,https://www.airbnb.es/rooms/24024785,-6.002274010752084,37.3842930917605,2018-05-07 11:47:49.504000,2018-09-22 03:03:55.781000,airbnb180827830,entire_home,2,4,1,1,
airbnb59d812068a46550354a9623b80,https://www.airbnb.es/rooms/25116135,-6.002301973781318,37.38434770353608,2018-05-25 13:10:05.661000,2018-09-22 03:01:18.875000,airbnb180827830,entire_home,2,4,0,1,
airbnb59d812068a46550354a9623b81,https://www.airbnb.es/rooms/17370819,-6.002311619429098,37.3845194639348,2017-08-14 16:12:14.241000,2017-10-01 12:32:45.790000,airbnb3964295,entire_home,1,4,61,1,55
airbnb59d812068a46550354a9623b82,https://www.airbnb.es/rooms/11765832,-6.002238283868446,37.384446231670424,2017-08-14 16:12:10.159000,2018-09-22 03:11:20.788000,airbnb51500984,entire_home,2,4,96,2,
airbnb59d812068a46550354a9623b83,https://www.airbnb.es/rooms/24274871,-6.002558956266602,37.38429070943647,2018-05-07 11:47:25.457000,2018-06-01 21:54:42.496000,airbnb102764121,private_room,0,1,3,2,36
airbnb59d812068a46550354a9623b84,https://www.airbnb.es/rooms/18344763,-6.002476877094541,37.38424346816765,2017-08-14 16:12:06.306000,2018-09-22 02:47:35.351000,airbnb37775671,entire_home,2,4,54,2,
airbnb59d812068a46550354a9623b85,https://www.airbnb.es/rooms/15896516,-6.002899702914028,37.38403638356601,2017-08-14 16:12:10.159000,2018-06-01 21:54:46.611000,airbnb5372915,entire_home,1,2,75,2,54
airbnb59d812068a46550354a9623b86,https://www.airbnb.es/rooms/12462353,-6.003051499841161,37.38404771684684,2017-08-14 16:12:22.643000,2017-10-01 12:33:12.391000,airbnb67438246,entire_home,1,4,19,3,37
airbnb59d812068a46550354a9623b87,https://www.airbnb.es/rooms/12903837,-6.002971244218653,37.38421903524069,2017-08-14 16:12:06.306000,2018-09-22 03:09:16.728000,airbnb41307476,private_room,0,2,249,1,
airbnb59d812068a46550354a9623b88,https://www.airbnb.es/rooms/23286013,-6.002958344337339,37.38463763138931,2018-05-07 11:48:09.326000,2018-09-22 02:55:11.854000,airbnb173349418,entire_home,2,4,2,2,
airbnb59d812068a46550354a9623b89,https://www.airbnb.es/rooms/16097279,-6.003045544063852,37.3846002116439,2017-08-14 16:12:06.306000,2017-10-01 12:33:24.819000,airbnb104927234,entire_home,0,2,18,2,40
airbnb59d812068a46550354a9623b90,https://www.airbnb.es/rooms/2929258,-6.003,37.385,2017-08-14 16:12:10.159000,2018-09-22 03:10:58.463000,airbnb14958822,entire_home,2,4,162,2,
airbnb59d812068a46550354a9623b91,https://www.airbnb.es/rooms/22729287,-6.003,37.385,2018-05-25 13:09:53.013000,2018-09-22 03:12:57.419000,airbnb167759103,entire_home,2,3,3,1,
airbnb59d812068a46550354a9623b92,https://www.airbnb.es/rooms/23813641,-6.003,37.385,2018-05-25 13:10:20.843000,2018-09-22 03:06:39.928000,airbnb178743175,entire_home,4,6,0,2,
airbnb59d812068a46550354a9623b93,https://www.airbnb.es/rooms/11609172,-6.00267089676299,37.384713679979036,2017-08-14 16:12:36.342000,2017-10-01 12:33:29.939000,airbnb61450268,entire_home,1,4,0,3,180
airbnb59d812068a46550354a9623b94,https://www.airbnb.es/rooms/23586271,-6.002459178082293,37.38500259626613,2018-05-25 13:10:05.662000,2018-09-22 03:13:47.467000,airbnb15074121,entire_home,2,4,28,1,
airbnb59d812068a46550354a9623b95,https://www.airbnb.es/rooms/20188278,-6.002725977666435,37.38489202380184,2017-08-14 16:12:18.343000,2018-09-22 03:03:16.150000,airbnb143737396,entire_home,2,5,29,2,
airbnb59d812068a46550354a9623b96,https://www.airbnb.es/rooms/24006965,-6.002744498466922,37.38530981598688,2018-05-07 11:48:09.326000,2018-09-22 02:53:07.189000,airbnb8146499,entire_home,2,4,4,3,
airbnb59d812068a46550354a9623b97,https://www.airbnb.es/rooms/5417825,-6.0028817996817265,37.38512970949677,2017-08-14 16:12:36.342000,2017-10-01 12:33:41.682000,airbnb5389768,private_room,1,2,0,2,30
airbnb59d812068a46550354a9623b98,https://www.airbnb.es/rooms/21908292,-6.003238175208323,37.38530950630893,2018-05-07 11:48:09.326000,2018-09-22 03:12:19.690000,airbnb5527707,entire_home,3,6,37,2,
